Access,Start Time,Stop Time,Duration,
1,325.18395759895,2943.65153973206,2618.46758213311,
2,3342.57726134065,5961.04550232984,2618.46824098919,
3,6359.97173507416,8978.43981297785,2618.46807790369,
4,9377.36582118231,11995.8306414033,2618.46482022101,
5,12394.7578048009,15013.2265533978,2618.46874859691,
6,15412.1512665059,18030.6159709736,2618.46470446769,
7,18429.5447319532,21048.0125170281,2618.46778507493,
8,21446.9382719977,24065.4063933156,2618.46812131787,
9,24464.331284675,27082.7992018667,2618.46791719172,
10,27481.7283930005,30100.193557893,2618.46516489246,
11,30499.1178369106,33117.5847216972,2618.46688478658,
12,33516.5107216146,36134.9772988685,2618.46657725383,
13,36533.9057797616,39152.3742387979,2618.46845903632,
14,39551.2997659305,42169.7658534846,2618.46608755401,
15,42568.689909188,45187.1616792974,2618.47177010946,
16,45586.0849720481,48204.5541620241,2618.46918997604,
17,48603.4763517668,51221.946574991,2618.47022322418,
18,51620.8714277355,54239.339042482,2618.46761474649,
19,54638.2639690564,57256.7308339262,2618.46686486979,
20,57655.6581804503,60274.1272950299,2618.4691145796,
21,60673.0481973497,63291.5199015453,2618.47170419565,
22,63690.4451113265,66308.9110090317,2618.46589770516,
23,66707.8349281581,69326.3045208965,2618.4695927384,
24,69725.2281324573,72343.6957205136,2618.46758805626,
25,72742.6259851813,75361.0916861416,2618.46570096028,
26,75760.0153197137,78378.4821705155,2618.46685080181,
27,78777.4085627615,81395.8748898496,2618.46632708816,
28,81794.8040403322,84413.2713337908,2618.46729345864,
29,84812.1957063749,86400,1587.80429362514,
