Access,Start Time,Stop Time,Duration,
1,0,1267.32518512136,1267.32518512136,
2,1666.24954661754,4284.71814417325,2618.46859755571,
3,4683.64240682407,7302.11105363132,2618.46864680725,
4,7701.03303738783,10319.502482355,2618.46944496715,
5,10718.4260567718,13336.8952793804,2618.46922260853,
6,13735.8203594112,16354.2913313615,2618.47097195033,
7,16753.2126550081,19371.6842555363,2618.4716005282,
8,19770.6054971765,22389.0747307161,2618.46923353962,
9,22788.0017826876,25406.4687631279,2618.46698044035,
10,25805.3921325737,28423.8611383401,2618.4690057664,
11,28822.7854581833,31441.2554379928,2618.46997980949,
12,31840.1811892832,34458.649517797,2618.46832851375,
13,34857.5727018118,37476.038506137,2618.46580432526,
14,37874.9658867818,40493.4341592558,2618.46827247397,
15,40892.3606867798,43510.8268276193,2618.46614083947,
16,43909.7535296685,46528.2220626581,2618.46853298955,
17,46927.1471057235,49545.6152798852,2618.46817416171,
18,49944.5419571531,52563.0072447958,2618.46528764265,
19,52961.9337220382,55580.4005417025,2618.46681966429,
20,55979.3270800671,58597.7923883234,2618.46530825639,
21,58996.7206851697,61615.1880220704,2618.46733690075,
22,62014.1141757325,64632.5826126919,2618.46843695943,
23,65031.5071813882,67649.9757208729,2618.46853948463,
24,68048.9037599313,70667.3686396294,2618.46487969811,
25,71066.2936963528,73684.7639470809,2618.47025072813,
26,74083.6866786296,76702.1570158406,2618.47033721098,
27,77101.0818723106,79719.5508356468,2618.46896333616,
28,80118.4732981595,82736.9407527382,2618.46745457871,
29,83135.8658646302,85754.3355312778,2618.46966664755,
30,86153.2611113084,86400,246.738888691587,
