Access,Start Time,Stop Time,Duration,
1,0,177.710850127172,177.710850127172,
2,576.634064169304,3195.10499932794,2618.47093515863,
3,3594.02720970247,6212.49451184424,2618.46730214177,
4,6611.42167824893,9229.89087394267,2618.46919569373,
5,9628.81482971456,12247.2829984034,2618.46816868884,
6,12646.205964377,15264.6775745772,2618.4716102002,
7,15663.6009732998,18282.0709735176,2618.47000021788,
8,18680.9923403086,21299.4620534766,2618.469713168,
9,21698.3867624516,24316.8568118747,2618.47004942311,
10,24715.7801245676,27334.2462565755,2618.46613200788,
11,27733.1710364801,30351.6434045363,2618.47236805617,
12,30750.5642417711,33369.0353915155,2618.47114974441,
13,33767.9607487499,36386.4290116934,2618.46826294352,
14,36785.350929528,39403.8207820433,2618.46985251523,
15,39802.7442130805,42421.2148096131,2618.47059653256,
16,42820.138088049,45438.608386757,2618.47029870798,
17,45837.5314796968,48456.0015594989,2618.47007980218,
18,48854.9248646332,51473.3917668381,2618.46690220488,
19,51872.3200191456,54490.7853979621,2618.46537881651,
20,54889.7121628288,57508.1802748662,2618.46811203735,
21,57907.1054227964,60525.573787008,2618.46836421163,
22,60924.4988576127,63542.9683782756,2618.46952066289,
23,63941.8928477481,66560.3588864525,2618.4660387044,
24,66959.2860284644,69577.7552174482,2618.46918898374,
25,69976.6815818587,72595.1489753338,2618.46739347502,
26,72994.0725502683,75612.5423651503,2618.46981488194,
27,76011.4658499975,78629.934648458,2618.46879846053,
28,79028.8619984849,81647.3295272797,2618.46752879485,
29,82046.252261092,84664.7221085975,2618.46984750553,
30,85063.6453151365,86400,1336.35468486353,
