Access,Start Time,Stop Time,Duration,
1,0,1015.8725199401,1015.8725199401,
2,1414.80036212099,4033.26438162063,2618.46401949964,
3,4432.19314402024,7050.66162683615,2618.46848281591,
4,7449.58568157703,10068.0546365849,2618.4689550079,
5,10466.9830571263,13085.4468894414,2618.46383231513,
6,13484.3724424297,16102.8404272304,2618.46798480072,
7,16501.7654635105,19120.2359485511,2618.47048504065,
8,19519.1632692897,22137.6288308076,2618.46556151795,
9,22536.5519697874,25155.0229530852,2618.47098329777,
10,25553.9446957309,28172.4126278117,2618.46793208083,
11,28571.339603443,31189.8084202048,2618.46881676182,
12,31588.7344861843,34207.2011443631,2618.46665817881,
13,34606.1238032923,37224.5954865841,2618.47168329186,
14,37623.5197787261,40241.9890834067,2618.46930468062,
15,40640.9102274718,43259.3799584907,2618.46973101886,
16,43658.3052290498,46276.7744087832,2618.46917973336,
17,46675.698103656,49294.1642079503,2618.46610429425,
18,49693.0890152287,52311.5586186347,2618.46960340598,
19,52710.4822496252,55328.9534069656,2618.47115734047,
20,55727.8787180479,58346.3474282308,2618.46871018294,
21,58745.2689825696,61363.7390469518,2618.47006438224,
22,61762.6623067525,64381.1336211113,2618.47131435879,
23,64780.0563713895,67398.5267307658,2618.4703593763,
24,67797.4496379634,70415.919749821,2618.47011185765,
25,70814.8429997857,73433.3101894775,2618.46718969181,
26,73832.2381945673,76450.7064795234,2618.46828495615,
27,76849.6301240011,79468.0987473044,2618.46862330331,
28,79867.023651501,82485.4920314375,2618.46837993646,
29,82884.4200027367,85502.8837580534,2618.46375531668,
30,85901.8110974063,86400,498.188902593713,
