Access,Start Time,Stop Time,Duration,
1,157.551948110282,2776.02033153407,2618.46838342379,
2,3174.94517089882,5793.41263562737,2618.46746472855,
3,6192.34152584676,8810.80759504803,2618.46606920126,
4,9209.73199568763,11828.2010849067,2618.46908921907,
5,12227.12455942,14845.5913411432,2618.46678172326,
6,15244.519862419,17862.9871552591,2618.46729284017,
7,18261.910824532,20880.3798920693,2618.46906753729,
8,21279.3036276065,23897.7756103583,2618.47198275179,
9,24296.6971474331,26915.1681777196,2618.47103028643,
10,27314.090014608,29932.5604566019,2618.47044199389,
11,30331.4832172547,32949.9531877577,2618.46997050302,
12,33348.8775947324,35967.3447066336,2618.46711190123,
13,36366.270397865,38984.7412558079,2618.47085794287,
14,39383.6617580953,42002.1337792341,2618.47202113886,
15,42401.0586047181,45019.5267093954,2618.46810467727,
16,45418.4484358292,48036.9184084106,2618.46997258141,
17,48435.8416234363,51054.3110390304,2618.46941559405,
18,51453.2395228479,54071.7056782933,2618.46615544543,
19,54470.628770792,57089.0995625003,2618.47079170836,
20,57488.0219804976,60106.4888979749,2618.46691747733,
21,60505.4174257877,63123.8850391506,2618.4676133629,
22,63522.8108520965,66141.2773460079,2618.46649391142,
23,66540.2027612941,69158.6720382401,2618.46927694596,
24,69557.5986509385,72176.0657746057,2618.46712366716,
25,72574.9902579475,75193.4572045529,2618.4669466054,
26,75592.3861147769,78210.8499891997,2618.4638744228,
27,78609.7788899694,81228.2424555907,2618.46356562126,
28,81627.1700579833,84245.6402427045,2618.47018472129,
29,84644.5634019585,86400,1755.4365980415,
