0.0,up,79-89
10.075915019946,down,47-57
73.73662880695,up,43-53
93.893883490956,down,72-82
93.894053927848,down,37-47
157.549245356938,up,77-87
157.551948110282,up,33-43
177.708811123406,down,62-72
177.710850127172,down,27-37
241.366410282623,up,67-77
241.368290270994,up,23-33
261.521074075532,down,52-62
261.523721722704,down,17-27
325.183901549887,up,13-23
325.18395759895,up,57-67
345.338036711181,down,42-52
409.003288247513,up,47-57
429.15763116353,down,76-86
429.157927039669,down,32-42
492.815632837536,up,72-82
492.818276662215,up,37-47
512.975240632466,down,66-76
512.97692872818,down,22-32
576.632233875395,up,62-72
576.634064169304,up,27-37
596.790894857091,down,56-66
596.793574696987,down,12-22
660.450889060821,up,17-27
660.450975247331,up,52-62
680.607837625311,down,46-56
744.267676022376,up,42-52
764.425418802449,down,71-81
764.425728382598,down,36-46
828.082076324036,up,76-86
828.084717384948,up,32-42
848.239182895663,down,61-71
848.24130649199,down,26-36
911.898765110708,up,66-76
911.900530579175,up,22-32
932.055226388706,down,51-61
932.057892139502,down,16-26
995.716123378094,up,12-22
995.716405893287,up,56-66
1015.8725199401,down,41-51
1079.53380041689,up,46-56
1099.69160672736,down,75-85
1099.69198560553,down,31-41
1163.34903277585,up,71-81
1163.35171646371,up,36-46
1183.50694379062,down,65-75
1183.5091077777,down,21-31
1247.16397098195,up,61-71
1247.16569239649,up,26-36
1267.32252984833,down,55-65
1267.32518512136,down,11-21
1330.98119817254,up,16-26
1330.98146378161,up,51-61
1351.13684594995,down,45-55
1414.80036212099,up,41-51
1434.95618053842,down,79-89
1434.95663294429,down,35-45
1498.6151889494,up,75-85
1498.61786343042,up,31-41
1518.76880185958,down,69-79
1518.77100491526,down,25-35
1582.4299143947,up,65-75
1582.43157950746,up,21-31
1602.58931969575,down,59-69
1602.59196529442,down,15-25
1666.24954661754,up,11-21
1666.24988200248,up,55-65
1686.40377497731,down,49-59
1750.06669482533,up,45-55
1770.2233270347,down,74-84
1770.22384399946,down,39-49
1833.87972011237,up,79-89
1833.88238421162,up,35-45
1854.038939038,down,64-74
1854.04118045479,down,29-39
1917.69586224945,up,69-79
1917.69747032667,up,25-35
1937.85256792956,down,54-64
1937.85653726472,down,19-29
2001.51294065802,up,15-25
2001.51334534266,up,59-69
2021.66853866535,down,44-54
2085.33092232492,up,49-59
2105.48926929085,down,78-88
2105.4898545581,down,34-44
2169.14575671369,up,74-84
2169.14840837075,up,39-49
2189.30278154891,down,68-78
2189.30505877271,down,24-34
2252.96292589355,up,64-74
2252.96426703631,up,29-39
2273.11912950511,down,58-68
2273.12280046521,down,14-24
2336.77906079129,up,19-29
2336.77953550693,up,54-64
2356.93346918273,down,48-58
2420.5967605651,up,44-54
2440.75335665943,down,73-83
2440.75401638857,down,38-48
2504.41100435842,up,78-88
2504.41364230359,up,34-44
2524.57079844482,down,63-73
2524.57311169158,down,28-38
2588.22775774869,up,68-78
2588.22924893761,up,24-34
2608.38709715734,down,53-63
2608.38969337762,down,18-28
2672.04481237807,up,14-24
2672.04535516885,up,58-68
2692.20098373405,down,43-53
2755.86425001663,up,48-58
2776.01960797761,down,77-87
2776.02033153407,down,33-43
2839.67696972548,up,73-83
2839.67959203428,up,38-48
2859.83662418652,down,67-77
2859.83897199614,down,23-33
2923.49385080975,up,63-73
2923.49528202247,up,28-38
2943.65153973206,down,57-67
2943.6541156067,down,13-23
3007.31273443044,up,18-28
3007.31334981534,up,53-63
3027.46781549981,down,47-57
3091.13019135412,up,43-53
3111.28565222748,down,72-82
3111.28669011914,down,37-47
3174.94256549209,up,77-87
3174.94517089882,up,33-43
