Access,Start Time,Stop Time,Duration,
1,0,512.975240632466,512.975240632466,
2,911.898765110708,3530.36386762752,2618.46510251682,
3,3929.29171124509,6547.76128724339,2618.4695759983,
4,6946.68783172161,9565.1520950744,2618.4642633528,
5,9964.07918866486,12582.5481019925,2618.46891332768,
6,12981.4729979299,15599.9406196881,2618.46762175816,
7,15998.8676782004,18617.3335065906,2618.46582839021,
8,19016.259744552,21634.7259745032,2618.46622995126,
9,22033.6531678869,24652.1186276566,2618.46545976966,
10,25051.0472712265,27669.5154843564,2618.46821312991,
11,28068.4402873578,30686.9087872959,2618.46849993807,
12,31085.8333232231,33704.3026680745,2618.46934485139,
13,34103.229708935,36721.6945246604,2618.46481572542,
14,37120.6199244149,39739.0893150958,2618.46939068092,
15,40138.0130213181,42756.48247149,2618.46945017191,
16,43155.408384527,45773.8768339837,2618.46844945673,
17,46172.8026802426,48791.2662226752,2618.46354243262,
18,49190.1922116939,51808.660967872,2618.4687561781,
19,52207.5855115627,54826.0547216116,2618.46921004889,
20,55224.9787677009,57843.4495553968,2618.47078769587,
21,58242.3714054805,60860.8427744181,2618.47136893756,
22,61259.7661524359,63878.234098225,2618.46794578908,
23,64277.1573423106,66895.6285651612,2618.4712228506,
24,67294.5504470998,69913.0183042802,2618.46785718037,
25,70311.9436274066,72930.4141698103,2618.47054240367,
26,73329.3371416256,75947.8074262954,2618.47028466981,
27,76346.7301556292,78965.2011000471,2618.47094441786,
28,79364.1269583367,81982.5926150487,2618.46565671197,
29,82381.5170633908,84999.9826213716,2618.4655579808,
30,85398.9103931028,86400,1001.08960689722,
