Access,Start Time,Stop Time,Duration,
1,0,848.24130649199,848.24130649199,
2,1247.16569239649,3865.63683971274,2618.47114731625,
3,4264.55889209982,6883.02657100384,2618.46767890402,
4,7281.95313612712,9900.42204863757,2618.46891251045,
5,10299.3459688983,12917.8150361067,2618.46906720833,
6,13316.7376066336,15935.2092260422,2618.47161940862,
7,16334.1307240502,18952.6028899544,2618.47216590418,
8,19351.52415903,21969.9936321985,2618.4694731685,
9,22368.9166551203,24987.3859223879,2618.4692672676,
10,25386.312013655,28004.7778416983,2618.46582804336,
11,28403.7028865853,31022.1725258909,2618.46963930559,
12,31421.0960727603,34039.5670096599,2618.47093689959,
13,34438.492498729,37056.9604781891,2618.46797946007,
14,37455.8827679321,40074.3527137622,2618.4699458301,
15,40473.2760824731,43091.7472626385,2618.47118016541,
16,43490.6702193451,46109.1403752512,2618.47015590607,
17,46508.0633873709,49126.5332819538,2618.46989458294,
18,49525.4567060531,52143.9238112954,2618.46710524224,
19,52542.8518946258,55161.3199962738,2618.46810164797,
20,55560.2457295891,58178.7123310335,2618.46660144439,
21,58577.637321413,61196.1054670729,2618.46814565996,
22,61595.0338599279,64213.4974223934,2618.46356246546,
23,64612.4247205115,67230.8905737087,2618.46585319721,
24,67629.8179598877,70248.2872233494,2618.46926346172,
25,70647.2134945047,73265.6807015506,2618.46720704588,
26,73664.6065884514,76283.0742396916,2618.46765124019,
27,76681.9976832277,79300.4664068375,2618.46872360982,
28,79699.3937343595,82317.8583451719,2618.46461081236,
29,82716.784048561,85335.2541553201,2618.47010675908,
30,85734.1771058857,86400,665.822894114273,
