Access,Start Time,Stop Time,Duration,
1,0,1099.69160672736,1099.69160672736,
2,1498.6151889494,4117.08286690604,2618.46767795664,
3,4516.00628244329,7134.47301046178,2618.46672801849,
4,7533.4024986304,10151.8696514344,2618.46715280401,
5,10550.7936482075,13169.2628058602,2618.46915765271,
6,13568.1867362814,16186.6527374003,2618.46600111893,
7,16585.5824037482,19204.0498007586,2618.46739701046,
8,19602.9754466324,22221.441075839,2618.46562920653,
9,22620.3675738573,25238.8361990837,2618.46862522643,
10,25637.7634985078,28256.2295180252,2618.46601951736,
11,28655.1551504914,31273.6213658073,2618.46621531586,
12,31672.5481338604,34291.0165260434,2618.46839218304,
13,34689.9437972766,37308.4065241237,2618.46272684713,
14,37707.3350824628,40325.8040662745,2618.46898381166,
15,40724.7284536951,43343.19676333,2618.46830963497,
16,43742.1251473738,46360.5902069102,2618.46505953641,
17,46759.5151529275,49377.9828911046,2618.46773817708,
18,49776.908218349,52395.3781523127,2618.46993396373,
19,52794.3015156259,55412.7712796373,2618.46976401142,
20,55811.6947459422,58430.1650147819,2618.47026883967,
21,58829.0877190126,61447.555022297,2618.46730328442,
22,61846.4823206284,64464.9495390437,2618.46721841527,
23,64863.8735090115,67482.343430676,2618.46992166449,
24,67881.2665895649,70499.7371527495,2618.47056318457,
25,70898.6607258729,73517.1310989665,2618.47037309364,
26,73916.0530493578,76534.5214696335,2618.46842027562,
27,76933.4457546679,79551.9168402648,2618.4710855969,
28,79950.8410711487,82569.3056709216,2618.46459977287,
29,82968.2319462875,85586.7030617626,2618.47111547517,
30,85985.6252202737,86400,414.374779726277,
