Access,Start Time,Stop Time,Duration,
1,0,1351.13684594995,1351.13684594995,
2,1750.06669482533,4368.53357812472,2618.46688329939,
3,4767.4586735661,7385.92295159344,2618.46427802733,
4,7784.8516285473,10403.3211710484,2618.46954250108,
5,10802.247872734,13420.7133952322,2618.46552249828,
6,13819.6382173102,16438.1083581984,2618.4701408882,
7,16837.0313748764,19455.500615828,2618.46924095158,
8,19854.4268922885,22472.8954140655,2618.46852177699,
9,22871.8220025273,25490.2843773166,2618.46237478937,
10,25889.2105871859,28507.6807515387,2618.4701643528,
11,28906.6065163539,31525.0729395104,2618.46642315642,
12,31923.9970877623,34542.4687172465,2618.47162948423,
13,34941.3899994009,37559.8612476502,2618.47124824927,
14,37958.7843695723,40577.2535999428,2618.46923037049,
15,40976.1764050475,43594.6462006516,2618.46979560404,
16,43993.5690478115,46612.0378643312,2618.46881651977,
17,47010.9623740914,49629.434376588,2618.47200249658,
18,50028.3552794121,52646.8269470689,2618.47166765678,
19,53045.7481921853,55664.2191607549,2618.47096856954,
20,56063.1446421258,58681.6115850602,2618.46694293444,
21,59080.5349294959,61699.0056079492,2618.47067845331,
22,62097.9282610879,64716.3988074754,2618.47054638755,
23,65115.3239509238,67733.7927308463,2618.46877992244,
24,68132.7159781801,70751.1820342061,2618.46605602607,
25,71150.1087688531,73768.5783246511,2618.46955579799,
26,74167.5054516453,76785.9704889422,2618.46503729693,
27,77184.8964602048,79803.3652471642,2618.4687869594,
28,80202.2921461815,82820.7589406143,2618.46679443278,
29,83219.6849284686,85838.1504329302,2618.46550446162,
30,86237.0765415151,86400,162.923458484904,
