Access,Start Time,Stop Time,Duration,
1,0,1518.77100491526,1518.77100491526,
2,1917.69747032667,4536.16865093493,2618.47118060826,
3,4935.09319359243,7553.55863144644,2618.46543785401,
4,7952.48416962538,10570.9532772591,2618.46910763371,
5,10969.8765633212,13588.3470671813,2618.47050386016,
6,13987.2695086943,16605.7408623946,2618.47135370032,
7,17004.6636719191,19623.1347815601,2618.471109641,
8,20022.0559025347,22640.5252091506,2618.46930661591,
9,23039.4485420817,25657.9205402383,2618.47199815662,
10,26056.8438396507,28675.3094296109,2618.46558996018,
11,29074.2359270515,31692.7069761995,2618.471049148,
12,32091.6279066894,34710.0986322686,2618.4707255792,
13,35109.0242464149,37727.4929394061,2618.46869299118,
14,38126.4146094293,40744.88465119,2618.47004176071,
15,41143.8079545651,43762.2790622176,2618.47110765248,
16,44161.2023734079,46779.6676204662,2618.46524705829,
17,47178.5952960569,49797.0648795455,2618.4695834886,
18,50195.9885364926,52814.4558605176,2618.46732402498,
19,53213.3837712921,55831.8517767776,2618.46800548556,
20,56230.7755549764,58849.244380722,2618.46882574558,
21,59248.1692202764,61866.6371439127,2618.46792363629,
22,62265.5627133357,64884.0298645944,2618.46715125867,
23,65282.9565905857,67901.4222648231,2618.46567423741,
24,68300.3498736971,70918.81921218,2618.4693384829,
25,71317.7454069682,73936.2124320078,2618.46702503963,
26,74335.1362396552,76953.6063514014,2618.47011174618,
27,77352.5295132892,79970.9981678314,2618.46865454222,
28,80369.925472059,82988.3920974329,2618.46662537397,
29,83387.3158351921,86005.7862037511,2618.47036855895,
