Access,Start Time,Stop Time,Duration,
1,0,1434.95663294429,1434.95663294429,
2,1833.88238421162,4452.35103644359,2618.46865223196,
3,4851.27526816477,7469.74349984075,2618.46823167597,
4,7868.67185424218,10487.1383823225,2618.46652808031,
5,10886.0609310392,13504.5319709675,2618.47103992833,
6,13903.4539726007,16521.9252706507,2618.47129804995,
7,16920.8475777933,19539.3157750977,2618.46819730439,
8,19938.2404496005,22556.7120883032,2618.47163870268,
9,22955.6351909255,25574.1041729691,2618.46898204367,
10,25973.0276638606,28591.4972486347,2618.46958477413,
11,28990.4213521897,31608.888476674,2618.46712448428,
12,32007.8120610231,34626.2815459504,2618.46948492724,
13,35025.2061099115,37643.6775254098,2618.47141549831,
14,38042.5985023789,40661.0705748314,2618.47207245254,
15,41059.9913449542,43678.4632049314,2618.47185997719,
16,44077.3875829143,46695.8551280632,2618.46754514883,
17,47094.7779663951,49713.2493640216,2618.47139762655,
18,50112.1712947308,52730.6417529849,2618.47045825417,
19,53129.5670378881,55748.035891237,2618.46885334888,
20,56146.9606242821,58765.4248591155,2618.46423483348,
21,59164.3517152708,61782.8220500373,2618.47033476652,
22,62181.7492273896,64800.2132204312,2618.46399304165,
23,65199.1393526915,67817.6085924747,2618.46923978317,
24,68216.5370687154,70835.0017380157,2618.46466930027,
25,71233.927776702,73852.3938485794,2618.46607187734,
26,74251.3194733581,76869.7881590271,2618.46868566901,
27,77268.7129142094,79887.1790371221,2618.46612291269,
28,80286.1065971278,82904.5764664864,2618.46986935857,
29,83303.5000238392,85921.9693023672,2618.46927852802,
30,86320.8930281385,86400,79.106971861518,
