Access,Start Time,Stop Time,Duration,
1,0,1686.40377497731,1686.40377497731,
2,2085.33092232492,4703.79608604955,2618.46516372463,
3,5102.72702398875,7721.18993748581,2618.46291349706,
4,8120.11830368706,10738.5863812342,2618.46807754718,
5,11137.5138011415,13755.980738584,2618.46693744247,
6,14154.9042004945,16773.3724340384,2618.46823354389,
7,17172.2972702306,19790.7664762721,2618.4692060415,
8,20189.6903861729,22808.1608839801,2618.47049780722,
9,23207.0837689443,25825.5547782847,2618.47100934036,
10,26224.4767602517,28842.9446918011,2618.46793154941,
11,29241.8713435526,31860.3396375891,2618.46829403651,
12,32259.2624646584,34877.7331815333,2618.47071687491,
13,35276.6555754293,37895.1271325261,2618.47155709679,
14,38294.0491773688,40912.5209882454,2618.47181087666,
15,41311.4420041115,43929.9115406987,2618.46953658725,
16,44328.8346399762,46947.3062413816,2618.47160140539,
17,47346.2299579033,49964.6957996159,2618.46584171268,
18,50363.623104789,52982.0908304189,2618.46772562992,
19,53381.0140871076,55999.4850327409,2618.47094563331,
20,56398.4104715397,59016.8784413505,2618.46796981083,
21,59415.8008274511,62034.2709870723,2618.47015962121,
22,62433.1941823268,65051.6645971156,2618.47041478879,
23,65450.5885218881,68069.0539783169,2618.46545642877,
24,68467.9815506334,71086.4514213575,2618.46987072416,
25,71485.3748381487,74103.8422417418,2618.46740359309,
26,74502.7700751097,77121.2382725736,2618.4681974639,
27,77520.1637642984,80138.6308046377,2618.46704033925,
28,80537.5555549208,83156.0237138058,2618.46815888502,
29,83554.9524222285,86173.4161972758,2618.4637750473,
