Access,Start Time,Stop Time,Duration,
1,0,1183.5091077777,1183.5091077777,
2,1582.43157950746,4200.89833559051,2618.46675608305,
3,4599.82470012464,7218.29354398099,2618.46884385636,
4,7617.21929691424,10235.6868563185,2618.4675594043,
5,10634.611394671,13253.0825038712,2618.47110920017,
6,13652.0037627896,16270.4750996627,2618.47133687312,
7,16669.3985298233,19287.8672980177,2618.46876819436,
8,19686.7914572477,22305.260156421,2618.46869917331,
9,22704.1825167178,25322.6515138611,2618.46899714332,
10,25721.5762214762,28340.0480929052,2618.47187142909,
11,28738.9691144573,31357.4405629014,2618.47144844415,
12,31756.3620131704,34374.8340832078,2618.47207003738,
13,34773.7584882608,37392.2251723474,2618.46668408655,
14,37791.1487267179,40409.616736439,2618.46800972104,
15,40808.5420358656,43427.0124614201,2618.47042555442,
16,43825.9376951144,46444.4063047082,2618.4686095938,
17,46843.3301782102,49461.7956670254,2618.46548881523,
18,49860.7224932765,52479.1916409178,2618.46914764132,
19,52878.1187625911,55496.5840929123,2618.46533032123,
20,55895.5101507769,58513.978710715,2618.46855993813,
21,58912.9050936543,61531.3724823743,2618.46738872,
22,61930.2985846895,64548.7638447917,2618.46526010219,
23,64947.6901642226,67566.157323893,2618.46715967043,
24,67965.0836091338,70583.549071546,2618.4654624122,
25,70982.4815447157,73600.9457640121,2618.46421929642,
26,73999.8706100483,76618.3393913297,2618.46878128141,
27,77017.2636136621,79635.732260984,2618.46864732189,
28,80034.6603859815,82653.1259825157,2618.46559653421,
29,83052.0501062245,85670.5210288119,2618.4709225874,
30,86069.4430221023,86400,330.556977897708,
