Access,Start Time,Stop Time,Duration,
1,0,1267.32252984833,1267.32252984833,
2,1666.24988200248,4284.71566460388,2618.46578260139,
3,4683.64335479054,7302.10887772916,2618.46552293861,
4,7701.03455548178,10319.5007274237,2618.46617194192,
5,10718.4280754619,13336.8940186997,2618.46594323783,
6,13735.8227859822,16354.2906386783,2618.46785269607,
7,16753.2153806082,19371.6841759562,2618.46879534801,
8,19770.6083990614,22389.0759945139,2618.46759545252,
9,22788.0047295161,25406.4699168645,2618.4651873484,
10,25805.3949970503,28423.8628555225,2618.46785847224,
11,28822.7881143439,31441.2576535411,2618.46953919722,
12,31840.1835231658,34458.6521378717,2618.46861470594,
13,34857.5759032683,37476.0414230111,2618.46551974289,
14,37874.9673121813,40493.4372391152,2618.46992693394,
15,40892.3615699619,43510.8299617442,2618.46839178225,
16,43909.7538512977,46528.2251122913,2618.47126099355,
17,46927.14685549,49545.6181201998,2618.47126470982,
18,49944.5412027923,52563.0097626714,2618.46855987912,
19,52961.9328819526,55580.402611947,2618.46972999441,
20,55979.3254924758,58597.7939969796,2618.46850450379,
21,58996.7188298871,61615.1890698996,2618.47024001247,
22,62014.1121687328,64632.5831200946,2618.47095136175,
23,65031.5051512575,67649.9754437334,2618.4702924759,
24,68048.9018378769,70667.3680756552,2618.4662377784,
25,71066.2920061503,73684.7629287101,2618.47092255973,
26,74083.6853373106,76702.155626606,2618.47028929544,
27,77101.0809807139,79719.549181109,2618.46820039509,
28,80118.4732410983,82736.9389526619,2618.46571156354,
29,83135.8660874055,85754.3337168584,2618.4676294529,
30,86153.261947717,86400,246.738052283006,
