0.0,11,0.0
0.0,12,3.0
0.0,13,0.0
0.0,14,5.0
0.0,15,7.0
0.0,16,2.0
0.0,17,0.0
0.0,18,0.0
0.0,19,0.0
0.0,21,0.0
0.0,22,5.0
0.0,23,0.0
0.0,24,5.0
0.0,25,7.0
0.0,26,0.0
0.0,27,0.0
0.0,28,0.0
0.0,29,0.0
0.0,31,3.0
0.0,32,1.0
0.0,33,0.0
0.0,34,4.0
0.0,35,5.0
0.0,36,3.0
0.0,37,0.0
0.0,38,0.0
0.0,39,2.0
0.0,41,6.0
0.0,42,7.0
0.0,43,0.0
0.0,44,0.0
0.0,45,0.0
0.0,46,0.0
0.0,47,0.0
0.0,48,0.0
0.0,49,0.0
0.0,51,7.0
0.0,52,5.0
0.0,53,0.0
0.0,54,1.0
0.0,55,0.0
0.0,56,0.0
0.0,57,0.0
0.0,58,0.0
0.0,59,3.0
0.0,61,7.0
0.0,62,3.0
0.0,63,3.0
0.0,64,5.0
0.0,65,0.0
0.0,66,0.0
0.0,67,0.0
0.0,68,0.0
0.0,69,0.0
0.0,71,5.0
0.0,72,3.0
0.0,73,1.0
0.0,74,1.0
0.0,75,7.0
0.0,76,0.0
0.0,77,0.0
0.0,78,0.0
0.0,79,4.0
0.0,81,1.0
0.0,82,0.0
0.0,83,1.0
0.0,84,6.0
0.0,85,0.0
0.0,86,0.0
0.0,87,0.0
0.0,88,0.0
0.0,89,0.0
1.0,25,4.0
1.0,44,1.0
1.0,52,2.0
2.0,39,5.0
2.0,74,0.0
79.0,53,3.0
83.0,12,4.0
83.0,31,0.0
83.0,75,5.0
84.0,83,6.0
85.0,15,4.0
85.0,34,5.0
85.0,42,3.0
85.0,59,5.0
85.0,78,2.0
90.0,72,0.0
162.0,43,3.0
167.0,16,0.0
167.0,21,5.0
167.0,73,2.0
167.0,81,0.0
168.0,35,4.0
168.0,79,5.0
169.0,24,6.0
169.0,43,2.0
169.0,84,3.0
170.0,54,0.0
174.0,62,0.0
246.0,33,3.0
251.0,36,0.0
251.0,41,8.0
251.0,63,5.0
251.0,71,0.0
252.0,25,0.0
252.0,69,4.0
253.0,14,4.0
253.0,22,3.0
253.0,39,7.0
253.0,44,0.0
253.0,74,3.0
258.0,52,0.0
330.0,23,2.0
334.0,31,1.0
334.0,75,2.0
335.0,53,2.0
335.0,61,4.0
336.0,15,5.0
336.0,59,4.0
337.0,12,3.0
337.0,34,1.0
337.0,64,0.0
337.0,78,4.0
337.0,83,8.0
341.0,42,0.0
352.0,23,3.0
414.0,13,4.0
419.0,43,0.0
419.0,51,5.0
419.0,79,1.0
420.0,49,3.0
420.0,84,0.0
421.0,24,7.0
421.0,38,2.0
421.0,73,1.0
425.0,32,0.0
444.0,13,3.0
498.0,82,1.0
502.0,11,1.0
502.0,41,7.0
502.0,69,7.0
503.0,33,4.0
503.0,39,3.0
503.0,74,7.0
504.0,71,3.0
505.0,14,7.0
505.0,58,3.0
509.0,22,0.0
586.0,15,3.0
586.0,23,5.0
586.0,31,2.0
586.0,59,7.0
586.0,75,0.0
586.0,89,1.0
588.0,34,5.0
588.0,53,1.0
588.0,61,3.0
589.0,83,6.0
590.0,31,1.0
593.0,12,0.0
630.0,72,1.0
665.0,62,3.0
670.0,13,5.0
670.0,35,2.0
670.0,49,6.0
670.0,79,5.0
672.0,24,4.0
672.0,38,5.0
672.0,43,1.0
672.0,51,2.0
672.0,73,0.0
749.0,52,4.0
753.0,69,6.0
754.0,11,2.0
754.0,39,0.0
754.0,74,5.0
754.0,82,6.0
756.0,14,4.0
756.0,33,5.0
756.0,41,3.0
756.0,58,5.0
756.0,77,2.0
761.0,71,0.0
819.0,52,3.0
833.0,42,3.0
837.0,15,0.0
837.0,59,4.0
838.0,29,5.0
838.0,72,2.0
838.0,89,0.0
839.0,34,4.0
839.0,78,5.0
840.0,23,6.0
840.0,53,0.0
840.0,83,3.0
844.0,61,0.0
905.0,11,4.0
915.0,42,2.0
917.0,32,3.0
921.0,49,8.0
922.0,24,0.0
922.0,35,0.0
922.0,62,5.0
922.0,68,4.0
922.0,79,4.0
923.0,13,4.0
923.0,21,3.0
923.0,38,7.0
923.0,73,3.0
924.0,43,0.0
928.0,51,0.0
1001.0,22,2.0
1005.0,39,1.0
1005.0,69,5.0
1005.0,74,2.0
1006.0,14,5.0
1006.0,52,2.0
1006.0,58,4.0
1007.0,11,3.0
1007.0,63,0.0
1007.0,82,8.0
1008.0,33,1.0
1008.0,77,4.0
1012.0,41,0.0
1084.0,12,4.0
1089.0,42,0.0
1089.0,59,5.0
1089.0,78,1.0
1090.0,48,3.0
1090.0,83,0.0
1091.0,37,2.0
1091.0,72,1.0
1092.0,23,7.0
1096.0,31,0.0
1110.0,22,3.0
1159.0,79,0.0
1168.0,81,1.0
1173.0,19,1.0
1173.0,32,4.0
1173.0,49,6.0
1173.0,68,7.0
1174.0,38,3.0
1174.0,73,7.0
1175.0,13,7.0
1175.0,57,3.0
1175.0,79,3.0
1180.0,21,0.0
1209.0,12,3.0
1256.0,88,1.0
1257.0,14,3.0
1257.0,22,5.0
1257.0,39,2.0
1257.0,58,7.0
1257.0,74,0.0
1259.0,33,5.0
1259.0,52,1.0
1259.0,69,3.0
1259.0,82,6.0
1263.0,11,0.0
1336.0,61,3.0
1340.0,34,2.0
1340.0,78,5.0
1341.0,12,5.0
1341.0,48,6.0
1342.0,23,4.0
1342.0,59,3.0
1343.0,37,5.0
1343.0,42,1.0
1343.0,72,0.0
1388.0,59,2.0
1412.0,71,1.0
1420.0,51,4.0
1424.0,19,2.0
1424.0,38,0.0
1424.0,68,6.0
1424.0,73,5.0
1425.0,81,6.0
1426.0,13,4.0
1426.0,32,5.0
1426.0,49,1.0
1426.0,57,5.0
1426.0,76,2.0
1431.0,79,0.0
1496.0,49,3.0
1503.0,41,3.0
1508.0,14,0.0
1508.0,28,5.0
1508.0,58,4.0
1508.0,71,2.0
1508.0,88,0.0
1509.0,33,4.0
1509.0,77,5.0
1510.0,22,6.0
1510.0,39,1.0
1510.0,82,3.0
1511.0,52,0.0
1515.0,69,0.0
1587.0,31,3.0
1592.0,34,0.0
1592.0,48,8.0
1592.0,61,5.0
1592.0,78,4.0
1593.0,23,0.0
1593.0,67,4.0
1594.0,12,4.0
1594.0,29,3.0
1594.0,37,7.0
1594.0,42,0.0
1594.0,72,3.0
1599.0,59,0.0
1625.0,51,3.0
1671.0,21,2.0
1675.0,38,1.0
1675.0,73,2.0
1676.0,51,2.0
1676.0,68,5.0
1677.0,13,5.0
1677.0,57,4.0
1678.0,19,3.0
1678.0,32,1.0
1678.0,62,0.0
1678.0,76,4.0
1678.0,81,8.0
1683.0,49,0.0
1736.0,41,2.0
1755.0,11,4.0
1760.0,41,0.0
1760.0,58,5.0
1760.0,77,1.0
1761.0,47,3.0
1761.0,82,0.0
1761.0,88,2.0
1762.0,22,7.0
1762.0,36,2.0
1762.0,71,1.0
1766.0,39,0.0
1839.0,89,1.0
1843.0,18,1.0
1843.0,48,6.0
1844.0,31,4.0
