Time,Range,
0,4135106.96928766,
10,4172396.9740895,
20,4209273.57312398,
30,4245731.75561503,
40,4281766.60196057,
50,4317373.28179923,
60,4352547.05222844,
70,4387283.25616199,
80,4421577.32081614,
90,4455424.75631477,
100,4488821.15440407,
110,4521762.18726874,
120,4554243.60644181,
130,4586261.24180122,
140,4617811.00064654,
150,4648888.86684986,
160,4679490.90007531,
170,4709613.23506233,
180,4739252.08096754,
190,4768403.7207614,
200,4797064.51067521,
210,4825230.87969491,
220,4852899.32909831,
230,4880066.43203229,
240,4906728.8331274,
250,4932883.24814665,
260,4958526.46366636,
270,4983655.33678647,
280,5008266.79486802,
290,5032357.83529609,
300,5055925.52526597,
310,5078967.00159083,
320,5101479.47052945,
330,5123460.20763217,
340,5144906.55760391,
350,5165815.93418264,
360,5186185.82003225,
370,5206013.76664861,
380,5225297.39427763,
390,5244034.39184446,
400,5262222.51689264,
410,5279859.5955327,
420,5296943.52239885,
430,5313472.2606135,
440,5329443.84175853,
450,5344856.36585274,
460,5359708.00133495,
470,5373996.98505193,
480,5387721.62225081,
490,5400880.28657543,
500,5413471.42006586,
510,5425493.5331612,
520,5436945.20470454,
530,5447824.99671662,
540,5458131.79689678,
550,5467864.30255643,
560,5477021.36624353,
570,5485601.90896084,
580,5493604.92017877,
590,5501029.45784859,
600,5507874.6484158,
610,5514139.6868331,
620,5519823.83657326,
630,5524926.42964137,
640,5529446.8665864,
650,5533384.61651195,
660,5536739.21708614,
670,5539510.27455026,
680,5541697.46372655,
690,5543300.52802444,
700,5544319.27944573,
710,5544753.59858833,
720,5544603.43464856,
730,5543868.80542221,
740,5542549.797304,
750,5540646.56528573,
760,5538159.33295293,
770,5535088.39248034,
780,5531434.10462588,
790,5527196.89872334,
800,5522377.2726741,
810,5516975.79293751,
820,5510993.09452043,
830,5504429.88096576,
840,5497286.92434038,
850,5489565.06522233,
860,5481265.21268771,
870,5472388.34429721,
880,5462935.50608266,
890,5452907.8125338,
900,5442306.44658533,
910,5431132.65960482,
920,5419387.77138143,
930,5407073.17011598,
940,5394190.31241256,
950,5380740.72327218,
960,5366725.99608862,
970,5352147.79264712,
980,5337007.84312625,
990,5321307.94610327,
1000,5305049.96856389,
1010,5288235.84591643,
1020,5270867.58201152,
1030,5252947.24916743,
1040,5234476.98820209,
1050,5215459.00847227,
1060,5195895.58792081,
1070,5175789.062869,
1080,5155141.87025311,
1090,5133956.48275464,
1100,5112235.45332154,
1110,5089981.40387388,
1120,5067197.02541806,
1130,5043885.07817599,
1140,5020048.3917305,
1150,4995689.86518832,
1160,4970812.46736244,
1170,4945419.23697493,
1180,4919513.28288245,
1190,4893097.78432593,
1200,4866175.99120658,
1210,4838751.22439034,
1220,4810826.87604298,
1230,4782406.40999838,
1240,4753493.36216264,
1250,4724091.34095684,
1260,4694204.02780157,
1270,4663835.17764651,
1280,4632988.61954866,
1290,4601668.25730312,
1300,4569878.0701306,
1310,4537622.11342607,
1320,4504904.51957364,
1330,4471729.49883291,
1340,4438101.34030238,
1350,4404024.41296641,
1360,4369503.16683239,
1370,4334542.1341654,
1380,4299145.9308285,
1390,4263319.25773735,
1400,4227066.90243847,
1410,4190393.74082173,
1420,4153304.73897822,
1430,4115804.95521575,
1440,4077899.5422456,
1450,4039593.74955518,
1460,4000892.92598268,
1470,3961802.52251143,
1480,3922328.09530336,
1490,3882475.30899287,
1500,3842249.94026436,
1510,3801657.88173939,
1520,3760705.14620159,
1530,3719397.87119071,
1540,3677742.32400022,
1550,3635744.90711651,
1560,3593412.1641419,
1570,3550750.78624794,
1580,3507767.61921085,
1590,3464469.67108614,
1600,3420864.12058624,
1610,3376958.32623187,
1620,3332759.83635586,
1630,3288276.40004711,
1640,3243515.97913275,
1650,3198486.76130771,
1660,3153197.1745339,
1670,3107655.90284596,
1680,3061871.90371683,
1690,3015854.42715516,
1700,2969613.0367279,
1710,2923157.63272507,
1720,2876498.47771157,
1730,2829646.22474134,
1740,2782611.94854468,
1750,2735407.18003991,
1760,2688043.94456545,
1770,2640534.80428136,
1780,2592892.90524765,
1790,2545132.02975466,
1800,2497266.65455701,
1810,2449312.01575025,
1820,2401284.18112795,
1830,2353200.13096947,
1840,2305077.84833575,
1850,2256936.4200937,
1860,2208796.15005108,
1870,2160678.68576356,
1880,2112607.16077596,
1890,2064606.35427949,
1900,2016702.87040579,
1910,1968925.33963462,
1920,1921304.64505832,
1930,1873874.17651587,
1940,1826670.11586627,
1950,1779731.75689401,
1960,1733101.86349564,
1970,1686827.06983797,
1980,1640958.32603806,
1990,1595551.39249766,
2000,1550667.38520184,
2010,1506373.37288637,
2020,1462743.02476474,
2030,1419857.30418499,
2040,1377805.19879566,
2050,1336684.4711036,
2060,1296602.40422387,
2070,1257676.50567601,
2080,1220035.11690747,
2090,1183817.85773655,
2100,1149175.813586,
