Time,Range,
0,3453539.73348493,
10,3409858.02828086,
20,3365877.95790395,
30,3321607.12006955,
40,3277053.31615853,
50,3232224.56347703,
60,3187129.10869301,
70,3141775.44257548,
80,3096172.31617707,
90,3050328.75861792,
100,3004254.09664776,
110,2957957.97618545,
120,2911450.38605949,
130,2864741.68420158,
140,2817842.62657735,
150,2770764.39917434,
160,2723518.65340941,
170,2676117.54536426,
180,2628573.77931207,
190,2580900.65605867,
200,2533112.12669206,
210,2485222.85241255,
220,2437248.2712063,
230,2389204.67222699,
240,2341109.27886637,
250,2292980.34162545,
260,2244837.24204557,
270,2196700.60912486,
280,2148592.44982999,
290,2100536.29551875,
300,2052557.36631342,
310,2004682.75570904,
320,1956941.63795897,
330,1909365.5010496,
340,1861988.40834282,
350,1814847.2922167,
360,1767982.28324415,
370,1721437.078582,
380,1675259.35324622,
390,1629501.21774883,
400,1584219.72506675,
410,1539477.42896146,
420,1495342.99408501,
430,1451891.85584503,
440,1409206.92435001,
450,1367379.32152835,
460,1326509.13326553,
470,1286706.1486439,
480,1248090.54564006,
490,1210793.46661914,
500,1174957.40769073,
510,1140736.32413314,
520,1108295.33137668,
530,1077809.86072997,
540,1049464.11637688,
550,1023448.68255283,
560,999957.156272252,
570,979181.740637993,
580,961308.148288166,
590,946508.107358838,
600,934934.464365148,
610,926713.212992664,
620,921937.648606399,
630,920663.47869851,
640,922905.763977629,
650,928638.073322395,
660,937793.961634283,
670,950270.955334775,
680,965934.35473131,
690,984625.851146642,
700,1006168.84737153,
710,1030375.48025778,
720,1057052.66351687,
730,1086007.23373422,
740,1117050.06944368,
750,1149999.18051434,
760,1184681.85299561,
770,1220935.98427983,
780,1258610.76232871,
790,1297566.84010184,
800,1337676.14091676,
810,1378821.4090666,
820,1420895.59729087,
830,1463801.16142774,
840,1507449.31416595,
850,1551759.27471902,
860,1596657.53937314,
870,1642077.49923922,
880,1687957.54789163,
890,1734242.36055331,
900,1780881.09561389,
910,1827827.21619488,
920,1875038.04559772,
930,1922474.36819228,
940,1970100.07218953,
950,2017881.83060706,
960,2065788.81678097,
970,2113792.45093611,
980,2161866.17455073,
990,2209985.24950919,
1000,2258126.57930595,
1010,2306268.54983027,
1020,2354390.88751683,
1030,2402474.53288583,
1040,2450501.52771561,
1050,2498454.9142908,
1060,2546318.64534788,
1070,2594077.50350143,
1080,2641717.02907696,
1090,2689223.45540273,
1100,2736583.65072565,
1110,2783785.06601395,
1120,2830815.68799747,
1130,2877663.99687182,
1140,2924318.92816039,
1150,2970769.83828694,
1160,3017006.47346352,
1170,3063018.94154356,
1180,3108797.68653056,
1190,3154333.46546734,
1200,3199617.3274621,
1210,3244640.59463482,
1220,3289394.84479093,
1230,3333871.89565121,
1240,3378063.79048449,
1250,3421962.78500705,
1260,3465561.33542667,
1270,3508852.08752228,
1280,3551827.86666165,
1290,3594481.66866947,
1300,3636806.65146745,
1310,3678796.12741567,
1320,3720443.55629185,
1330,3761742.5388514,
1340,3802686.81091646,
1350,3843270.23794786,
1360,3883486.81005761,
1370,3923330.63742409,
1380,3962795.94607558,
1390,4001877.07401095,
1400,4040568.46762909,
1410,4078864.6784416,
1420,4116760.36004534,
1430,4154250.26533346,
1440,4191329.24392583,
1450,4227992.23980098,
1460,4264234.28911365,
1470,4300050.51818312,
1480,4335436.14163892,
1490,4370386.46071178,
1500,4404896.86165826,
1510,4438962.81430905,
1520,4472579.87073119,
1530,4505743.66399581,
1540,4538449.90704314,
1550,4570694.39163763,
1560,4602472.98740629,
1570,4633781.64095412,
1580,4664616.37505085,
1590,4694973.28788361,
1600,4724848.55237085,
1610,4754238.41553276,
1620,4783139.19791415,
1630,4811547.29305591,
1640,4839459.16701144,
1650,4866871.35790472,
1660,4893780.475527,
1670,4920183.2009693,
1680,4946076.28628784,
1690,4971456.55420029,
1700,4996320.89781028,
1710,5020666.28035814,
1720,5044489.61128325,
1730,5067788.24250434,
1740,5090559.22106305,
1750,5112799.78871245,
1760,5134507.25642504,
1770,5155679.00426375,
1780,5176312.48126807,
1790,5196405.2053537,
1800,5215954.7632249,
1810,5234958.81029844,
1820,5253415.07063795,
1830,5271321.33689801,
1840,5288675.47027707,
1850,5305475.40047816,
1860,5321719.12567699,
1870,5337404.71249643,
1880,5352530.295987,
1890,5367094.07961246,
1900,5381094.33524012,
1910,5394529.40313532,
1920,5407397.69195946,
1930,5419697.67877126,
1940,5431427.90903074,
1950,5442586.99660546,
1960,5453173.62377875,
1970,5463186.54125951,
1980,5472624.56819328,
1990,5481486.59217425,
2000,5489771.56925792,
2010,5497478.52397421,
2020,5504606.54934076,
2030,5511154.80687606,
2040,5517122.52661251,
2050,5522509.00710889,
2060,5527313.61546233,
2070,5531535.78731945,
2080,5535175.02688666,
2090,5538230.90693953,
2100,5540703.06883087,
2110,5542591.2224978,
2120,5543895.14646749,
2130,5544614.68786153,
2140,5544749.76239898,
2150,5544300.35439806,
2160,5543266.51677632,
2170,5541648.37104949,
2180,5539446.10732883,
2190,5536659.98431722,
2200,5533290.32930377,
2210,5529337.53815724,
2220,5524802.07531814,
2230,5519684.42971256,
2240,5513985.29245482,
2250,5507705.28815363,
2260,5500845.1554365,
2270,5493405.70144845,
2280,5485387.80183897,
2290,5476792.40074871,
2300,5467620.51079609,
2310,5457873.21306377,
2320,5447551.65708568,
2330,5436657.06083439,
2340,5425190.71070942,
2350,5413153.96152662,
2360,5400548.23650901,
2370,5387375.0272793,
2380,5373635.89385475,
2390,5359332.46464428,
2400,5344466.43644885,
2410,5329039.57446497,
2420,5313053.71229231,
2430,5296510.75194561,
2440,5279412.6638716,
2450,5261761.4869715,
2460,5243559.32862976,
2470,5224808.36474951,
2480,5205510.83979592,
2490,5185669.06684769,
2500,5165285.42765795,
2510,5144362.37272512,
2520,5122902.42137503,
2530,5100908.16185502,
2540,5078382.25144123,
2550,5055327.41656034,
2560,5031746.45292683,
2570,5007642.22569731,
2580,4983017.66964313,
2590,4957875.78934303,
2600,4932219.65939743,
2610,4906052.42466597,
2620,4879377.30053049,
2630,4852197.57318528,
2640,4824516.59995697,
2650,4796337.80965624,
2660,4767664.70296416,
2670,4738500.85285568,
2680,4708849.9050634,
2690,4678715.57858472,
2700,4648101.66623587,
2710,4617012.03525651,
2720,4585450.62796907,
2730,4553421.46249694,
2740,4520928.6335464,
2750,4487976.31325738,
2760,4454568.75212857,
2770,4420710.28002272,
2780,4386405.30725896,
2790,4351658.32579893,
2800,4316473.91053444,
2810,4280856.72068516,
2820,4244811.50131535,
2830,4208343.08497948,
2840,4171456.39350764,
2850,4134156.43994253,
2860,4096448.33064094,
2870,4058337.26755366,
2880,4019828.5506995,
2890,3980927.58085011,
2900,3941639.88101304,
2910,3901971.02545099,
2920,3861926.75409981,
2930,3821512.90249509,
2940,3780735.42422847,
2950,3739600.39535752,
2960,3698114.01920188,
2970,3656282.63156192,
2980,3614112.70640011,
2990,3571610.86202945,
3000,3528783.86785794,
3010,3485638.65174376,
3020,3442182.30802147,
3030,3398422.10626643,
3040,3354365.50087223,
3050,3310020.14152426,
3060,3265393.88466231,
3070,3220494.8060357,
3080,3175331.2144668,
3090,3129911.6669522,
3100,3084244.98524676,
3110,3038340.27409317,
3120,2992206.94127932,
3130,2945854.71972894,
3140,2899293.69185612,
3150,2852534.31644351,
3160,2805587.45833758,
3170,2758464.42129133,
3180,2711176.98432804,
3190,2663737.44204849,
3200,2616158.64935945,
3210,2568454.0711645,
3220,2520637.8376303,
3230,2472724.80572322,
3240,2424730.62780443,
3250,2376671.82817692,
3260,2328565.88859812,
3270,2280431.34390624,
3280,2232287.88906154,
3290,2184156.49907383,
3300,2136059.56347818,
3310,2088021.03723044,
3320,2040066.6101252,
3330,1992223.89708542,
3340,1944522.65193668,
3350,1896995.00754738,
3360,1849675.7454819,
3370,1802602.59855682,
3380,1755816.5898839,
3390,1709362.412088,
3400,1663288.85034665,
3410,1617649.2526296,
3420,1572502.04991006,
3430,1527911.32802361,
3440,1483947.45106453,
3450,1440687.73346894,
3460,1398217.15391257,
3470,1356629.09844123,
3480,1316026.11239563,
3490,1276520.63019983,
3500,1238235.63851716,
3510,1201305.21138898,
3520,1165874.83592533,
3530,1132101.42481356,
3540,1100152.88943565,
3550,1070207.12847984,
3560,1042450.27740113,
3570,1017074.07183014,
3580,994272.212323298,
3590,974235.687381033,
3600,957147.421939967,
3610,943174.671801722,
3620,932463.985956676,
3630,925133.387200003,
3640,921266.77880349,
3650,920909.482680452,
3660,924065.730666095,
3670,930698.426690143,
3680,940731.21059351,
3690,954052.935797374,
3700,970521.811600044,
3710,989974.200749816,
3720,1012229.94632133,
3730,1037099.27393197,
3740,1064388.62175979,
3750,1093905.52559268,
3760,1125462.46548182,
3770,1158879.69806742,
3780,1193987.17613215,
3790,1230625.69776628,
3800,1268647.4399044,
3810,1307916.02427492,
3820,1348306.24626488,
3830,1389703.57508583,
3840,1432003.51107462,
3850,1475110.86535169,
3860,1518939.00949697,
3870,1563409.12867277,
3880,1608449.50053737,
3890,1653994.81393936,
3900,1699985.5352758,
3910,1746367.62548736,
3920,1793090.80779585,
3930,1840109.89597544,
3940,1887383.15222897,
3950,1934872.20282143,
3960,1982541.6911648,
3970,2030358.96813541,
3980,2078293.81600975,
3990,2126318.20258438,
4000,2174406.06228103,
4010,2222533.10130023,
4020,2270676.62415688,
4030,2318815.37919523,
4040,2366929.42093237,
4050,2414999.9873127,
4060,2463009.39017076,
4070,2510940.91739395,
4080,2558778.74545045,
4090,2606507.86110499,
4100,2654113.99128261,
4110,2701583.54016341,
4120,2748903.53270013,
4130,2796061.56384566,
4140,2843045.75286134,
4150,2889844.70215117,
4160,2936447.46013202,
4170,2982843.48770656,
4180,3029022.62795608,
4190,3074975.07871426,
4200,3120691.36772147,
4210,3166162.33009343,
4220,3211379.08786765,
4230,3256333.0314178,
4240,3301015.80254874,
4250,3345419.27910607,
4260,3389535.56095172,
4270,3433356.95717275,
4280,3476875.97440545,
4290,3520085.30616849,
4300,3562977.82311035,
4310,3605546.5640858,
4320,3647784.72798534,
4330,3689685.66624876,
4340,3731242.87600095,
4350,3772449.99375461,
4360,3813300.78962958,
4370,3853789.16204336,
4380,3893909.13283214,
4390,3933654.84276529,
4400,3973020.54741947,
4410,4012000.6133825,
4420,4050589.51475909,
4430,4088781.82995327,
4440,4126572.23870516,
4450,4163955.51936103,
4460,4200926.54635775,
4470,4237480.28790476,
4480,4273611.80384736,
4490,4309316.24369742,
4500,4344588.84481808,
4510,4379424.93075049,
4520,4413819.90967176,
4530,4447769.27297375,
4540,4481268.59395366,
4550,4514313.52660783,
4560,4546899.80452095,
4570,4579023.23984349,
4580,4610679.7223507,
4590,4641865.21857719,
4600,4672575.7710213,
4610,4702807.4974143,
4620,4732556.59004932,
4630,4761819.31516594,
4640,4790592.01238603,
4650,4818871.09419732,
4660,4846653.04548094,
4670,4873934.42307988,
4680,4900711.85540525,
4690,4926982.04207765,
4700,4952741.75360086,
4710,4977987.83106563,
4720,5002717.06078848,
4730,5026926.67605694,
4740,5050613.60150116,
4750,5073774.95812296,
4760,5096407.93640718,
4770,5118509.7961638,
4780,5140077.86638703,
4790,5161109.54513048,
4800,5181602.29939682,
4810,5201553.66504097,
4820,5220961.24668552,
4830,5239822.71764742,
4840,5258135.81987509,
4850,5275898.36389478,
4860,5293108.22876559,
4870,5309763.36204228,
4880,5325861.77974501,
4890,5341401.5663355,
4900,5356380.87469885,
4910,5370797.92613047,
4920,5384651.01032748,
4930,5397938.4853842,
4940,5410658.77779107,
4950,5422810.38243662,
4960,5434391.8626121,
4970,5445401.85001829,
4980,5455839.04477412,
4990,5465702.21542691,
5000,5474990.19896365,
5010,5483701.90082322,
5020,5491836.29490922,
5030,5499392.42360309,
5040,5506369.39777749,
5050,5512766.3968093,
5060,5518582.66859265,
5070,5523817.52955122,
5080,5528470.36465001,
5090,5532540.62740632,
5100,5536027.83989977,
5110,5538931.59278132,
5120,5541251.54528119,
5130,5542987.4252155,
5140,5544139.02899166,
5150,5544706.2216125,
5160,5544688.93667882,
5170,5544087.17639082,
5180,5542901.01154783,
5190,5541130.58154682,
5200,5538776.09437942,
5210,5535837.82662757,
5220,5532316.12345785,
5230,5528211.35204341,
5240,5523524.08925872,
5250,5518254.83798072,
5260,5512404.21763323,
5270,5505972.91617884,
5280,5498961.69010691,
5290,5491371.36442087,
5300,5483202.83262526,
5310,5474457.05671228,
5320,5465135.0671483,
5330,5455237.96286058,
5340,5444766.91122428,
5350,5433723.14805001,
5360,5422107.97757251,
5370,5409922.77244025,
5380,5397168.97370681,
5390,5383848.09082383,
5400,5369961.70163652,
5410,5355511.45238153,
5420,5340499.05768813,
5430,5324926.30058272,
5440,5308795.03249753,
5450,5292107.17328374,
5460,5274864.71122986,
5470,5257069.70308574,
5480,5238724.27409297,
5490,5219830.61802245,
5500,5200390.99721961,
5510,5180407.74265842,
5520,5159883.25400469,
5530,5138819.99968987,
5540,5117220.51699611,
5550,5095087.41215369,
5560,5072423.36045208,
5570,5049231.10636542,
5580,5025513.46369426,
5590,5001273.31572436,
5600,4976513.61540453,
5610,4951237.38554465,
5620,4925447.71903585,
5630,4899147.77909454,
5640,4872340.79953227,
5650,4845030.08505344,
5660,4817219.01158335,
5670,4788911.0266286,
5680,4760109.64967287,
5690,4730818.47261063,
5700,4701041.16022183,
5710,4670781.45069102,
5720,4640043.15617413,
5730,4608830.16341701,
5740,4577146.43442954,
5750,4544996.0072201,
5760,4512382.9965949,
5770,4479311.59502749,
5780,4445786.0736043,
5790,4411810.7830519,
5800,4377390.15485308,
5810,4342528.70245866,
5820,4307231.02260305,
5830,4271501.79673202,
5840,4235345.79255207,
5850,4198767.86571135,
5860,4161772.96162348,
5870,4124366.11744608,
5880,4086552.48191414,
5890,4048337.24718887,
5900,4009725.75666945,
5910,3970723.43785907,
5920,3931335.82272783,
5930,3891568.55094535,
5940,3851427.37339171,
5950,3810918.15597174,
5960,3770046.88376063,
5970,3728819.66551103,
5980,3687242.73855573,
5990,3645322.47414298,
6000,3603065.38324546,
6010,3560478.12288882,
6020,3517567.50304983,
6030,3474340.49418039,
6040,3430804.23541937,
6050,3386966.04356149,
6060,3342833.4228599,
6070,3298414.07574823,
6080,3253715.91457761,
6090,3208747.074475,
6100,3163515.92744235,
6110,3118031.09782973,
6120,3072301.47933182,
6130,3026336.25367548,
6140,2980144.91118647,
6150,2933737.27344673,
6160,2887123.51828055,
6170,2840314.20733737,
6180,2793320.31657401,
6190,2746153.26997734,
6200,2698824.97691319,
6210,2651347.87353758,
6220,2603734.96876388,
6230,2555999.89534477,
6240,2508156.9667025,
6250,2460221.24022545,
6260,2412208.58784545,
6270,2364135.77481898,
6280,2316020.54775962,
6290,2267881.73310802,
6300,2219739.34738316,
6310,2171614.72073372,
6320,2123530.63550484,
6330,2075511.48174945,
6340,2027583.43185004,
6350,1979774.63666759,
6360,1932115.44589998,
6370,1884638.65560176,
6380,1837379.78607861,
6390,1790377.39360312,
6400,1743673.41957328,
6410,1697313.58080834,
6420,1651347.80458408,
6430,1605830.71166573,
6440,1560822.14987929,
6450,1516387.77950709,
6460,1472599.7097874,
6470,1429537.18275773,
6480,1387287.29626155,
6490,1345945.75171511,
6500,1305617.60373488,
6510,1266417.9774689,
6520,1228472.70505728,
6530,1191918.8148953,
6540,1156904.78661213,
6550,1123590.46207061,
6560,1092146.48071054,
6570,1062753.09044753,
6580,1035598.17947477,
6590,1010874.38806475,
6600,988775.202198402,
6610,969490.010604696,
6620,953198.528085923,
6630,940063.042794565,
6640,930223.365210793,
6650,923789.14420305,
6660,920834.584867579,
6670,921394.451343791,
6680,925462.130266237,
6690,932990.00228479,
6700,943892.073632947,
6710,958048.91116119,
6720,975312.082564205,
6730,995513.08805022,
6740,1018468.65688157,
6750,1043987.50087051,
6760,1071875.91506781,
6770,1101942.39568739,
6780,1134001.21619175,
6790,1167875.00965408,
6800,1203396.47284575,
6810,1240409.34001998,
6820,1278768.78087354,
6830,1318341.36690778,
6840,1359004.73116393,
6850,1400647.02375837,
6860,1443166.24342903,
6870,1486469.50541988,
6880,1530472.28933572,
6890,1575097.69721756,
6900,1620275.74176082,
6910,1665942.67687767,
6920,1712040.37720478,
6930,1758515.7692183,
6940,1805320.31394133,
6950,1852409.53948892,
6960,1899742.62063217,
6970,1947282.00198002,
6980,1994993.33929509,
6990,2042844.08282887,
7000,2090804.8887771,
7010,2138848.25764967,
7020,2186948.6035861,
7030,2235082.06532883,
7040,2283226.33792738,
7050,2331360.52283739,
7060,2379464.99432669,
7070,2427521.28032886,
7080,2475511.95609369,
7090,2523420.54917375,
7100,2571231.45445507,
7110,2618929.85809163,
7120,2666501.66933784,
7130,2713933.45939135,
7140,2761212.40646417,
7150,2808326.246392,
7160,2855263.22817303,
7170,2902012.07389901,
7180,2948561.94260415,
7190,2994902.39761239,
7200,3041023.37701232,
7210,3086915.16693096,
7220,3132568.37731581,
7230,3177973.91996677,
7240,3223122.98858879,
7250,3268007.0406614,
7260,3312617.78094386,
7270,3356947.14645443,
7280,3400987.2927795,
7290,3444730.58158413,
7300,3488169.56920886,
7310,3531296.99624981,
7320,3574105.7780302,
7330,3616588.99588011,
7340,3658739.88915048,
7350,3700551.84789461,
7360,3742018.40615692,
7370,3783133.23581492,
7380,3823890.14092551,
7390,3864283.05253158,
7400,3904306.02388892,
7410,3943953.22607761,
7420,3983218.94396493,
7430,4022097.5724904,
7440,4060583.61324593,
7450,4098671.67132682,
7460,4136356.45243106,
7470,4173632.76018713,
7480,4210495.49369153,
7490,4246939.64523945,
7500,4282960.29823306,
7510,4318552.62525354,
7520,4353711.88628392,
7530,4388433.42707112,
7540,4422712.67761623,
7550,4456545.15078339,
7560,4489926.44101802,
7570,4522852.22316623,
7580,4555318.25138773,
7590,4587320.35815511,
7600,4618854.45333305,
7610,4649916.52333175,
7620,4680502.63032857,
7630,4710608.91155328,
7640,4740231.57863194,
7650,4769366.91698518,
7660,4798011.28527688,
7670,4826161.11490949,
7680,4853812.90956258,
7690,4880963.24477142,
7700,4907608.76754262,
7710,4933746.19600422,
7720,4959372.31908741,
7730,4984483.86906993,
7740,5009078.03161572,
7750,5033151.67764001,
7760,5056701.87666127,
7770,5079725.76780983,
7780,5102220.55965616,
7790,5124183.5300575,
7800,5145612.02602134,
7810,5166503.46358442,
7820,5186855.32770609,
7830,5206665.17217473,
7840,5225930.61952625,
7850,5244649.36097357,
7860,5262819.1563462,
7870,5280437.834039,
7880,5297503.29096926,
7890,5314013.49254138,
7900,5329966.47261837,
7910,5345360.33349953,
7920,5360193.24590367,
7930,5374463.44895726,
7940,5388169.25018695,
7950,5401309.02551597,
7960,5413881.2192639,
7970,5425884.34414941,
7980,5437316.98129545,
7990,5448177.78023657,
8000,5458465.45892806,
8010,5468178.80375639,
8020,5477316.66955082,
8030,5485877.97959581,
8040,5493861.72564394,
8050,5501266.9679291,
8060,5508092.8351798,
8070,5514338.52463224,
8080,5520003.30204311,
8090,5525086.50170176,
8100,5529587.52644185,
8110,5533505.84765199,
8120,5536841.00528563,
8130,5539592.60786969,
8140,5541760.33251221,
8150,5543343.92490868,
8160,5544343.19934707,
8170,5544758.03871154,
8180,5544588.39448481,
8190,5543834.28674899,
8200,5542495.8041851,
8210,5540573.10407113,
8220,5538066.41227879,
8230,5534976.02326868,
8240,5531302.25245048,
8250,5527045.62813546,
8260,5522206.60144453,
8270,5516785.74112165,
8280,5510783.68445791,
8290,5504201.13728007,
8300,5497038.87393839,
8310,5489297.73729396,
8320,5480978.63870539,
8330,5472082.55801545,
8340,5462610.54353765,
8350,5452563.7120429,
8360,5441943.24874673,
8370,5430750.40729707,
8380,5418986.50976312,
8390,5406652.94662543,
8400,5393751.1767676,
8410,5380282.72746989,
8420,5366249.19440533,
8430,5351652.24163837,
8440,5336493.60162689,
8450,5320775.07522777,
8460,5304498.53170665,
8470,5287665.90875243,
8480,5270279.212497,
8490,5252340.51754089,
8500,5233851.96698544,
8510,5214815.7724723,
8520,5195234.21423087,
8530,5175109.64113462,
8540,5154444.47076713,
8550,5133241.18949857,
8560,5111502.35257404,
8570,5089230.58421437,
8580,5066428.57773076,
8590,5043099.0956545,
8600,5019244.96988291,
8610,4994869.10184307,
8620,4969974.46267465,
8630,4944564.09343358,
8640,4918641.10531831,
8650,4892208.6799203,
8660,4865270.06950103,
8670,4837828.59729731,
8680,4809887.65785757,
8690,4781450.71741117,
8700,4752521.31427388,
8710,4723103.05929185,
8720,4693199.63632772,
8730,4662814.80279162,
8740,4631952.39022122,
8750,4600616.30491426,
8760,4568810.52861801,
8770,4536539.11928008,
8780,4503806.21186565,
8790,4470616.01924613,
8800,4436972.83316543,
8810,4402881.02528973,
8820,4368345.04834774,
8830,4333369.43736881,
8840,4297958.81102693,
8850,4262117.87309917,
8860,4225851.4140484,
8870,4189164.3127403,
8880,4152061.5383064,
8890,4114548.1697459,
8900,4076629.32808909,
8910,4038310.28334418,
8920,3999596.38770687,
8930,3960493.0956151,
8940,3921005.96679086,
8950,3881140.66954306,
