Time,Range,
0,3807020.78449792,
10,3847565.47398274,
20,3887742.67642368,
30,3927546.51451631,
40,3966971.22637795,
50,4006011.16170246,
60,4044660.77822107,
70,4082914.63844368,
80,4120767.40665781,
90,4158213.84616385,
100,4195248.81672773,
110,4231867.27223333,
120,4268064.25851889,
130,4303834.91138265,
140,4339174.45474469,
150,4374078.19895249,
160,4408541.53921924,
170,4442559.95418469,
180,4476129.00458904,
190,4509244.33205131,
200,4541901.65794432,
210,4574096.78235901,
220,4605825.58315117,
230,4637084.01506485,
240,4667868.1089262,
250,4698173.97090301,
260,4727997.78182484,
270,4757335.79655911,
280,4786184.34343943,
290,4814539.82374197,
300,4842398.71120646,
310,4869757.55159855,
320,4896612.96231041,
330,4922961.63199682,
340,4948800.32024408,
350,4974125.85726933,
360,4998935.14364789,
370,5023225.15006678,
380,5046992.91710216,
390,5070235.55501909,
400,5092950.24359166,
410,5115134.23194233,
420,5136784.83839843,
430,5157899.45036502,
440,5178475.52421231,
450,5198510.58517692,
460,5218002.22727536,
470,5236948.11322919,
480,5255345.97440044,
490,5273193.61073675,
500,5290488.89072498,
510,5307229.75135292,
520,5323414.19807803,
530,5339040.30480256,
540,5354106.21385469,
550,5368610.04003233,
560,5382550.25595155,
570,5395925.11161908,
580,5408733.02297148,
590,5420972.47434291,
600,5432642.01846939,
610,5443740.27649528,
620,5454265.93798167,
630,5464217.76091638,
640,5473594.57172505,
650,5482395.26528332,
660,5490618.80492952,
670,5498264.2224778,
680,5505330.61823141,
690,5511817.16099593,
700,5517723.08809209,
710,5523047.70536839,
720,5527790.38721285,
730,5531950.57656414,
740,5535527.78492181,
750,5538521.59235537,
760,5540931.6475125,
770,5542757.66762578,
780,5543999.4385184,
790,5544656.81460836,
800,5544729.71891136,
810,5544218.14304235,
820,5543122.14721557,
830,5541441.86024319,
840,5539177.47953262,
850,5536329.27108232,
860,5532897.56947634,
870,5528882.77787761,
880,5524285.36801992,
890,5519105.88019882,
900,5513344.92326147,
910,5507003.17459555,
920,5500081.38011741,
930,5492580.3542595,
940,5484500.97995737,
950,5475844.2086363,
960,5466611.06019789,
970,5456802.62300661,
980,5446420.05387681,
990,5435464.57806017,
1000,5423937.4892342,
1010,5411840.14949163,
1020,5399173.9893315,
1030,5385940.5076519,
1040,5372141.271745,
1050,5357777.91729461,
1060,5342852.14837666,
1070,5327365.73746336,
1080,5311320.5064238,
1090,5294718.40378699,
1100,5277561.38703862,
1110,5259851.50236276,
1120,5241590.8644301,
1130,5222781.65643435,
1140,5203426.13013622,
1150,5183526.60591602,
1160,5163085.4728355,
1170,5142105.18870992,
1180,5120588.28019136,
1190,5098537.34286413,
1200,5075955.04135365,
1210,5052844.10944966,
1220,5029207.35024531,
1230,5005047.63629331,
1240,4980367.90978064,
1250,4955171.18272344,
1260,4929460.53718356,
1270,4903239.12550888,
1280,4876510.17059898,
1290,4849276.96619848,
1300,4821542.87722018,
1310,4793311.34010032,
1320,4764585.86318878,
1330,4735370.02717666,
1340,4705667.48556453,
1350,4675481.9651744,
1360,4644817.26670893,
1370,4613677.26536171,
1380,4582065.91148254,
1390,4549987.23130228,
1400,4517445.3277218,
1410,4484444.38117035,
1420,4450988.65053897,
1430,4417082.47419468,
1440,4382730.27108247,
1450,4347936.54192177,
1460,4312705.87050553,
1470,4277042.92511004,
1480,4240952.46002486,
1490,4204439.31721288,
1500,4167508.42811117,
1510,4130164.81558491,
1520,4092413.59604706,
1530,4054259.98175831,
1540,4015709.28332254,
1550,3976766.91239522,
1560,3937438.3846232,
1570,3897729.32283651,
1580,3857645.46051478,
1590,3817192.64555305,
1600,3776376.84435417,
1610,3735204.14627817,
1620,3693680.76848151,
1630,3651813.061183,
1640,3609607.513397,
1650,3567070.75917841,
1660,3524209.5844296,
1670,3481030.93432387,
1680,3437541.92140687,
1690,3393749.83444385,
1700,3349662.14808823,
1710,3305286.5334559,
1720,3260630.8696988,
1730,3215703.25668297,
1740,3170512.02888783,
1750,3125065.77065798,
1760,3079373.33295423,
1770,3033443.85176851,
1780,2987286.76838738,
1790,2940911.85171203,
1800,2894329.2228683,
1810,2847549.3823701,
1820,2800583.24013294,
1830,2753442.14867266,
1840,2706137.9398677,
1850,2658682.96571282,
1860,2611090.14354857,
1870,2563373.00631468,
1880,2515545.75844874,
1890,2467623.33813449,
1900,2419621.48669827,
1910,2371556.8260594,
1920,2323446.94526137,
1930,2275310.49724784,
1940,2227167.3072015,
1950,2179038.49393652,
1960,2130946.60602802,
1970,2082915.77457381,
1980,2034971.88471606,
1990,1987142.76830034,
2000,1939458.42031263,
2010,1891951.24200465,
2020,1844656.31388192,
2030,1797611.70196792,
2040,1750858.80094441,
2050,1704442.71785963,
2060,1658412.70003544,
2070,1612822.61050478,
2080,1567731.45366161,
2090,1523203.95264607,
2100,1479311.17811304,
2110,1436131.22517407,
2120,1393749.93112029,
2130,1352261.62061922,
2140,1311769.85696539,
2150,1272388.16716307,
2160,1234240.69470814,
2170,1197462.71669421,
2180,1162200.94152151,
2190,1128613.48104231,
2200,1096869.36866945,
2210,1067147.47675235,
2220,1039634.67842227,
2230,1014523.10922647,
2240,992006.421535356,
2250,972274.998375712,
2260,955510.207036704,
2270,941877.921499127,
2280,931521.708329977,
2290,924556.220935207,
2300,921061.44049849,
2310,921078.399454631,
2320,924607.283924029,
2330,931605.93075354,
2340,941994.38504529,
2350,955657.695257774,
2360,972452.055276303,
2370,992211.414961279,
2380,1014754.29343896,
2390,1039890.25144214,
2400,1067425.62958527,
2410,1097168.32502181,
2420,1128931.52737213,
2430,1162536.44813793,
2440,1197814.51114503,
2450,1234606.9844374,
2460,1272767.63026453,
2470,1312161.2766311,
