Time,Range,
0,3078704.08441507,
10,3032771.20890263,
20,2986610.87142121,
30,2940232.84583151,
40,2893647.2585965,
50,2846864.61598413,
60,2799895.83412498,
70,2752752.2722601,
80,2705445.7695584,
90,2657988.68593212,
100,2610393.94733549,
110,2562675.09609599,
120,2514846.34690041,
130,2466922.64914156,
140,2418919.75642558,
150,2370854.30414716,
160,2322743.89616174,
170,2274607.20172039,
180,2226464.06398816,
190,2178335.62163928,
200,2130244.44521523,
210,2082214.69014463,
220,2034272.26855596,
230,1986445.04226417,
240,1938763.03957596,
250,1891258.69882783,
260,1843967.1418351,
270,1796926.4806685,
280,1750178.16136041,
290,1703767.3482331,
300,1657743.3524772,
310,1612160.10830571,
320,1567076.69935245,
330,1522557.93681609,
340,1478674.98896435,
350,1435506.05873732,
360,1393137.10198483,
370,1351662.57292955,
380,1311186.17529803,
390,1271821.58671842,
400,1233693.11002401,
410,1196936.18781161,
420,1161697.69621663,
430,1128135.91140459,
440,1096420.01999783,
450,1066729.02653305,
460,1039249.90314596,
470,1014174.8371312,
480,991697.470160892,
490,972008.398728627,
500,955288.223228012,
510,941702.827791558,
520,931395.402841988,
530,924480.133815207,
540,921036.459328865,
550,921104.820578609,
560,924684.415712944,
570,931733.244866142,
580,942170.810990667,
590,955880.95794894,
600,972719.872205896,
610,992521.229432579,
620,1015103.37272851,
630,1040275.7766624,
640,1067844.77274169,
650,1097618.31111102,
660,1129409.68130333,
670,1163040.22761617,
680,1198341.16742198,
690,1235154.65761962,
700,1273334.264009,
710,1312744.97993945,
720,1353262.92220058,
730,1394774.80977499,
740,1437177.30865793,
750,1480376.63490288,
760,1524286.4816741,
770,1568829.26369297,
780,1613934.0695603,
790,1659536.31976944,
800,1705577.13914235,
810,1752002.78068675,
820,1798764.10117077,
830,1845816.08685707,
840,1893117.42669399,
850,1940630.12962094,
860,1988319.18235361,
870,2036152.24395752,
880,2084099.37361376,
890,2132132.78816849,
900,2180226.64629811,
910,2228356.85638604,
920,2276500.90547695,
930,2324637.70693713,
940,2372747.46469931,
950,2420811.55220157,
960,2468812.40434219,
970,2516733.42096381,
980,2564558.88055275,
990,2612273.86299315,
1000,2659864.1803519,
1010,2707316.31479141,
1020,2754617.36281419,
1030,2801754.98513675,
1040,2848717.36157359,
1050,2895493.15038462,
1060,2942071.45160312,
1070,2988441.7739176,
1080,3034594.00473043,
1090,3080518.38305896,
1100,3126205.47498343,
1110,3171646.15137891,
1120,3216831.56769848,
1130,3261753.14560035,
1140,3306402.55623465,
1150,3350771.70502582,
1160,3394852.71780397,
1170,3438637.92815485,
1180,3482119.86587131,
1190,3525291.24640189,
1200,3568144.96120292,
1210,3610674.06890998,
1220,3652871.78725364,
1230,3694731.48565135,
1240,3736246.67841478,
1250,3777411.0185176,
1260,3818218.29187401,
1270,3858662.41208358,
1280,3898737.41560169,
1290,3938437.4572992,
1300,3977756.80637816,
1310,4016689.84261348,
1320,4055231.05289343,
1330,4093375.0280341,
1340,4131116.45984536,
1350,4168450.13842782,
1360,4205370.94968218,
1370,4241873.87301377,
1380,4277953.97921701,
1390,4313606.42852527,
1400,4348826.46881345,
1410,4383609.43394119,
1420,4417950.74222586,
1430,4451845.89503543,
1440,4485290.47549197,
1450,4518280.14727736,
1460,4550810.65353359,
1470,4582877.81585035,
1480,4614477.53333356,
1490,4645605.78174859,
1500,4676258.61273284,
1510,4706432.15307229,
1520,4736122.60403754,
1530,4765326.24077467,
1540,4794039.41174716,
1550,4822258.53822489,
1560,4849980.11381685,
1570,4877200.70404426,
1580,4903916.94595132,
1590,4930125.54775051,
1600,4955823.28850014,
1610,4981007.01781156,
1620,5005673.655584,
1630,5029820.19176474,
1640,5053443.68613299,
1650,5076541.26810533,
1660,5099110.01805219,
1670,5121147.44278772,
1680,5142650.75954667,
1690,5163617.37472942,
1700,5184044.76367305,
1710,5203930.47055595,
1720,5223272.10831477,
1730,5242067.35857242,
1740,5260313.97157621,
1750,5278009.76614548,
1760,5295152.62962752,
1770,5311740.51786122,
1780,5327771.45514768,
1790,5343243.53422707,
1800,5358154.9162611,
1810,5372503.83082051,
1820,5386288.57587703,
1830,5399507.51779926,
1840,5412159.091352,
1850,5424241.79969858,
1860,5435754.21440575,
1870,5446694.97545076,
1880,5457062.79123018,
1890,5466856.43857024,
1900,5476074.76273831,
1910,5484716.67745518,
1920,5492781.1649079,
1930,5500267.27576305,
1940,5507174.12917987,
1950,5513500.91282358,
1960,5519246.88287805,
1970,5524411.36405823,
1980,5528993.74962172,
1990,5532993.5013797,
2000,5536410.14970681,
2010,5539243.29355007,
2020,5541492.6004366,
2030,5543157.80648015,
2040,5544238.71638638,
2050,5544735.20345665,
2060,5544647.20959064,
2070,5543974.7452874,
2080,5542717.88964506,
2090,5540876.79035907,
2100,5538451.66371909,
2110,5535442.79460447,
2120,5531850.53647845,
2130,5527675.31138105,
2140,5522917.60992072,
2150,5517577.99126502,
2160,5511657.08313015,
2170,5505155.54108741,
2180,5498074.21266233,
2190,5490413.88907325,
2200,5482175.47211077,
2210,5473359.93205152,
2220,5463968.30764473,
2230,5454001.70609882,
2240,5443461.30306867,
2250,5432348.34264316,
2260,5420664.13733393,
2270,5408410.0680653,
2280,5395587.58416562,
2290,5382198.20336073,
2300,5368243.51176961,
2310,5353725.16390263,
2320,5338644.88266315,
2330,5323004.45935248,
2340,5306805.75367907,
2350,5290050.6937723,
2360,5272741.27620145,
2370,5254879.56600044,
2380,5236467.69669915,
2390,5217507.87036173,
2400,5198002.35763296,
2410,5177953.49779329,
2420,5157363.69882339,
2430,5136235.43747919,
2440,5114571.25937847,
2450,5092373.77909983,
2460,5069645.6802954,
2470,5046389.71581827,
2480,5022608.70786621,
2490,4998305.5481427,
2500,4973483.19803709,
2510,4948144.68882519,
2520,4922293.12189234,
2530,4895931.66898035,
2540,4869063.57246067,
2550,4841692.14563566,
2560,4813820.77307035,
2570,4785452.91095705,
2580,4756592.08751554,
2590,4727241.90343154,
2600,4697406.03233669,
2610,4667088.22133313,
2620,4636292.29156642,
2630,4605022.13885046,
2640,4573281.73434888,
2650,4541075.12531681,
2660,4508406.43590864,
2670,4475279.86805634,
2680,4441699.70242451,
2690,4407670.29944806,
2700,4373196.10045951,
2710,4338281.62891283,
2720,4302931.49171222,
2730,4267150.38065397,
2740,4230943.07399124,
2750,4194314.43813169,
2760,4157269.42947929,
2770,4119813.09643248,
2780,4081950.58155206,
2790,4043687.12391326,
2800,4005028.06165812,
2810,3965978.83476561,
2820,3926544.98805869,
2830,3886732.17446932,
2840,3846546.15858482,
2850,3805992.8205006,
2860,3765078.16000782,
2870,3723808.31998199,
2880,3682189.51589779,
2890,3640228.15447461,
2900,3597930.76400669,
2910,3555304.01964427,
2920,3512354.75036453,
2930,3469089.94657532,
2940,3425516.7684148,
2950,3381642.55481683,
2960,3337474.83342019,
2970,3293021.33140806,
2980,3248289.98737472,
2990,3203288.96432751,
3000,3158026.66394476,
3010,3112511.74222485,
3020,3066753.12667816,
3030,3020760.03523139,
3040,2974541.99703544,
3050,2928108.87539133,
3060,2881470.89303544,
3070,2834638.66005642,
3080,2787623.20475038,
3090,2740436.00776077,
3100,2693089.03989453,
3110,2645594.804057,
3120,2597966.38180672,
3130,2550217.48509751,
3140,2502362.5138511,
3150,2454416.62008907,
3160,2406395.77945126,
3170,2358316.87103783,
3180,2310197.76663841,
3190,2262057.43055247,
3200,2213916.03136526,
3210,2165795.06722034,
3220,2117717.50632901,
3230,2069707.94467371,
3240,2021792.78310032,
3250,1974000.42624785,
3260,1926361.50603051,
3270,1878909.13265617,
3280,1831679.17642495,
3290,1784710.5837796,
3300,1738045.73124417,
3310,1691730.82094468,
3320,1645816.32128817,
3330,1600357.45599349,
3340,1555414.74389564,
3350,1511054.59061158,
3360,1467349.93104062,
3370,1424380.91848559,
3380,1382235.6515665,
3390,1341010.92362613,
3400,1300812.97052224,
