Time,Range,
0,5539641.28343452,
10,5541797.41276537,
20,5543369.40549074,
30,5544357.07726052,
40,5544760.31232085,
50,5544579.06351644,
60,5543813.35229138,
70,5542463.26868867,
80,5540528.97134824,
90,5538010.68750358,
100,5534908.71297706,
110,5531223.41217386,
120,5526955.21807466,
130,5522104.63222721,
140,5516672.22473673,
150,5510658.63425531,
160,5504064.56797052,
170,5496890.80159319,
180,5489138.17934464,
190,5480807.61394354,
200,5471900.08659241,
210,5462416.64696424,
220,5452358.41318919,
230,5441726.57184174,
240,5430522.37792861,
250,5418747.15487752,
260,5406402.29452738,
270,5393489.25712002,
280,5380009.57129381,
290,5365964.83407982,
300,5351356.71090059,
310,5336186.93557214,
320,5320457.31030963,
330,5304169.70573725,
340,5287326.06090279,
350,5269928.38329746,
360,5251978.74888167,
370,5233479.30211738,
380,5214432.25600773,
390,5194839.89214462,
400,5174704.56076525,
410,5154028.68081831,
420,5132814.74004078,
430,5111065.2950464,
440,5088782.97142677,
450,5065970.46386632,
460,5042630.53627229,
470,5018766.02192106,
480,4994379.82362215,
490,4969474.91390152,
500,4944054.33520572,
510,4918121.20012848,
520,4891678.69166184,
530,4864730.06347357,
540,4837278.64021322,
550,4809327.81784888,
560,4780881.06403736,
570,4751941.91853023,
580,4722514.0008668,
590,4692600.98265267,
600,4662206.62920624,
610,4631334.7735429,
620,4599989.3234512,
630,4568174.26218353,
640,4535893.6492082,
650,4503151.62102792,
660,4469952.39207011,
670,4436300.25565464,
680,4402199.58504536,
690,4367654.83459229,
700,4332670.54097169,
710,4297251.3245322,
720,4261401.89075575,
730,4225127.03184278,
740,4188431.62843209,
750,4151320.65146678,
760,4113799.16421856,
770,4075872.32448397,
780,4037545.38696735,
790,3998823.70586671,
800,3959712.73768035,
810,3920218.04425361,
820,3880345.29608711,
830,3840100.27593024,
840,3799488.88268542,
850,3758517.13565192,
860,3717191.17914035,
870,3675517.28749289,
880,3633501.87054702,
890,3591151.47958558,
900,3548472.81381966,
910,3505472.7274565,
920,3462158.23740989,
930,3418536.5317171,
940,3374614.97873347,
950,3330401.13718399,
960,3285902.7671599,
970,3241127.842159,
980,3196084.56227954,
990,3150781.36869063,
1000,3105226.95951695,
1010,3059430.30729185,
1020,3013400.6781522,
1030,2967147.65296905,
1040,2920681.15063307,
1050,2874011.45374064,
1060,2827149.23695802,
1070,2780105.59837625,
1080,2732892.09421017,
1090,2685520.77724059,
1100,2638004.23945115,
1110,2590355.65937081,
1120,2542588.85470108,
1130,2494718.34088385,
1140,2446759.39635383,
1150,2398728.13531902,
1160,2350641.58902579,
1170,2302517.79659323,
1180,2254375.90664529,
1190,2206236.29113177,
1200,2158120.67291002,
1210,2110052.26886049,
1220,2062055.95053016,
1230,2014158.42453806,
1240,1966388.43523339,
1250,1918776.99236401,
1260,1871357.62678214,
1270,1824166.67746987,
1280,1777243.61338779,
1290,1730631.39380114,
1300,1684376.87077199,
1310,1638531.23735327,
1320,1593150.5245852,
1330,1548296.14954528,
1340,1504035.51526181,
1350,1460442.66103561,
1360,1417598.95832604,
1370,1375593.84247666,
1380,1334525.56374461,
1390,1294501.93187441,
1400,1255641.01634786,
1410,1218071.74908863,
1420,1181934.35774469,
1430,1147380.53622721,
1440,1114573.23643562,
1450,1083685.94396573,
1460,1054901.28590535,
1470,1028408.81754347,
1480,1004401.85575502,
1490,983073.2792678,
1500,964610.307017289,
1510,949188.396025755,
1520,936964.559376333,
1530,928070.907344056,
1540,922606.984669793,
1550,920636.580652138,
1560,922182.950034986,
1570,927227.837792237,
1580,935712.50254631,
1590,947540.933307402,
1600,962584.858037026,
1610,980689.959981942,
1620,1001682.65103583,
1630,1025377.19301257,
1640,1051580.29765199,
1650,1080098.854661,
1660,1110742.66450347,
1670,1143328.12554701,
1680,1177680.55641456,
1690,1213635.67958723,
1700,1251040.41826835,
1710,1289753.15943436,
1720,1329643.62251492,
1730,1370592.45249379,
1740,1412490.63347805,
1750,1455238.79707912,
1760,1498746.48091236,
1770,1542931.37676456,
1780,1587718.59549181,
1790,1633039.96616177,
1800,1678833.37987751,
1810,1725042.1836296,
1820,1771614.62597586,
1830,1818503.35396335,
1840,1865664.95918057,
1850,1913059.56991689,
1860,1960650.4859287,
1870,2008403.85213077,
1880,2056288.36754674,
1890,2104275.02599281,
1900,2152336.88518268,
1910,2200448.86119514,
1920,2248587.54551346,
1930,2296731.04211449,
1940,2344858.82234294,
1950,2392951.59554845,
1960,2440991.19368719,
1970,2488960.46829213,
1980,2536843.19840085,
1990,2584624.00819285,
2000,2632288.29323593,
2010,2679822.15436997,
2020,2727212.33837172,
2030,2774446.1846454,
2040,2821511.57727322,
2050,2868396.90183755,
2060,2915091.00649655,
2070,2961583.16685453,
2080,3007863.05422207,
2090,3053920.70690762,
2100,3099746.50422275,
2110,3145331.1429201,
2120,3190665.61581418,
2130,3235741.19236319,
2140,3280549.40101486,
2150,3325082.01314064,
2160,3369331.02840179,
2170,3413288.66140802,
2180,3456947.32954375,
2190,3500299.64185066,
2200,3543338.38886681,
2210,3586056.53333277,
2220,3628447.20168455,
2230,3670503.6762613,
2240,3712219.38816297,
2250,3753587.91069946,
2260,3794602.95337878,
2270,3835258.35638676,
2280,3875548.0855154,
2290,3915466.22750113,
2300,3955006.98573799,
2310,3994164.6763337,
2320,4032933.72448019,
