Time,Range,
0,2286039.40022416,
10,2334172.37709591,
20,2382274.53053398,
30,2430327.45247804,
40,2478313.77633368,
50,2526217.08257968,
60,2574021.81434905,
70,2621713.20185148,
80,2669277.19463869,
90,2716700.40083182,
100,2763970.03253428,
110,2811073.85674511,
120,2858000.15116858,
130,2904737.66438667,
140,2951275.57992343,
150,2997603.48378478,
160,3043711.33510554,
170,3089589.43957758,
180,3135228.42537004,
190,3180619.22128536,
200,3225753.03692354,
210,3270621.34465195,
220,3315215.86320099,
230,3359528.54272472,
240,3403551.55118374,
250,3447277.26192214,
260,3490698.24232449,
270,3533807.24345059,
280,3576597.19055623,
290,3619061.17441791,
300,3661192.44338767,
310,3702984.39611152,
320,3744430.57485211,
330,3785524.65936136,
340,3826260.46125486,
350,3866631.91884409,
360,3906633.09238678,
370,3946258.15971965,
380,3985501.41224097,
390,4024357.25121355,
400,4062820.18436138,
410,4100884.82273568,
420,4138545.87782814,
430,4175798.15891146,
440,4212636.57058859,
450,4249056.1105342,
460,4285051.86741291,
470,4320619.01896049,
480,4355752.83021512,
490,4390448.65188721,
500,4424701.91885691,
510,4458508.14878958,
520,4491862.9408602,
530,4524761.97457837,
540,4557201.00870654,
550,4589175.88026403,
560,4620682.50361094,
570,4651716.86960544,
580,4682275.04482947,
590,4712353.17087744,
600,4741947.46370344,
610,4771054.21302258,
620,4799669.78176247,
630,4827790.60556117,
640,4855413.19230816,
650,4882534.12172517,
660,4909150.04498394,
670,4935257.68435812,
680,4960853.8329069,
690,4985935.22841353,
700,5010499.0578356,
710,5034542.19758313,
720,5058061.72124721,
730,5081054.77202024,
740,5103518.56252536,
750,5125450.37466401,
760,5146847.55948039,
770,5167707.53704135,
780,5188027.79633053,
790,5207805.89515553,
800,5227039.46006705,
810,5245726.18628899,
820,5263863.83765863,
830,5281450.24657585,
840,5298483.31396072,
850,5314961.00921853,
860,5330881.37021175,
870,5346242.50323801,
880,5361042.5830136,
890,5375279.85266195,
900,5388952.62370633,
910,5402059.27606652,
920,5414598.2580587,
930,5426568.08639841,
940,5437967.34620581,
950,5448794.69101318,
960,5459048.84277409,
970,5468728.59187395,
980,5477832.79714169,
990,5486360.38586213,
1000,5494310.35378903,
1010,5501681.76515821,
1020,5508473.75270088,
1030,5514685.5176567,
1040,5520316.32978654,
1050,5525365.52738468,
1060,5529832.51729027,
1070,5533716.77489811,
1080,5537017.84416829,
1090,5539735.3376349,
1100,5541868.93641354,
1110,5543418.39020758,
1120,5544383.51731313,
1130,5544764.20462272,
1140,5544560.40762741,
1150,5543772.15041779,
1160,5542399.52568319,
1170,5540442.69470982,
1180,5537901.88737731,
1190,5534777.40215391,
1200,5531069.5585406,
1210,5526778.8886869,
1220,5521905.84780444,
1230,5516451.00864286,
1240,5510415.01249826,
1250,5503798.56920174,
1260,5496602.45710717,
1270,5488827.52307843,
1280,5480474.68247622,
1290,5471544.91914459,
1300,5462039.28539752,
1310,5451958.90200566,
1320,5441304.9581835,
1330,5430078.7115773,
1340,5418281.48825397,
1350,5405914.68269118,
1360,5392979.75776927,
1370,5379478.24476496,
1380,5365411.74334751,
1390,5350781.9215777,
1400,5335590.51590992,
1410,5319839.33119801,
1420,5303530.24070532,
1430,5286665.18611941,
1440,5269246.1775722,
1450,5251275.2936659,
1460,5232754.68150568,
1470,5213686.55673953,
1480,5194073.20360626,
1490,5173916.97499233,
1500,5153220.29249841,
1510,5131985.6465167,
1520,5110215.59631978,
1530,5087912.77016229,
1540,5065079.86539642,
1550,5041719.64860248,
1560,5017834.95573592,
1570,4993428.69229203,
1580,4968503.83349003,
1590,4943063.42447803,
1600,4917110.58056052,
1610,4890648.48745053,
1620,4863680.40154808,
1630,4836209.65024733,
1640,4808239.63227466,
1650,4779773.81806016,
1660,4750815.75014504,
1670,4721369.04362823,
1680,4691437.38665482,
1690,4661024.54094996,
1700,4630134.34240178,
1710,4598770.70169717,
1720,4566937.60501467,
1730,4534639.11477909,
1740,4501879.37048266,
1750,4468662.58957813,
1760,4434993.06844972,
1770,4400875.18346801,
1780,4366313.39213567,
1790,4331312.23433159,
1800,4295876.33366121,
1810,4260010.39892207,
1820,4223719.22569402,
1830,4187007.69806448,
1840,4149880.79050029,
1850,4112343.58746844,
1860,4074401.21557104,
1870,4036058.95056505,
1880,3997322.1505411,
1890,3958196.27600301,
1900,3918686.89292425,
1910,3878799.67606678,
1920,3838540.41258596,
1930,3797915.00594738,
1940,3756929.48018439,
1950,3715589.98452762,
1960,3673902.79844146,
1970,3631874.33710587,
1980,3589511.15738603,
1990,3546819.96433679,
2000,3503807.61829426,
2010,3460481.14261225,
2020,3416847.73210782,
2030,3372914.76228738,
2040,3328689.79943305,
2050,3284180.61163762,
2060,3239395.18088725,
2070,3194341.71630222,
2080,3149028.66865924,
2090,3103464.74633368,
2100,3057658.93281656,
2110,3011620.50598021,
2120,2965359.05928801,
2130,2918884.52516755,
2140,2872207.20079468,
2150,2825337.77656703,
2160,2778287.36758109,
2170,2731067.54846789,
2180,2683690.39198825,
2190,2636168.51184124,
2200,2588515.11019942,
2210,2540744.03055243,
2220,2492869.81651836,
2230,2444907.77737017,
2240,2396874.06112506,
2250,2348785.73615763,
2260,2300660.88242698,
2270,2252518.69355217,
2280,2204379.59113365,
2290,2156265.3528999,
2300,2108199.25646078,
2310,2060206.24067011,
2320,2012313.08684184,
2330,1964548.62232001,
2340,1916943.949171,
2350,1869532.7010349,
2360,1822351.33142827,
2370,1775439.43700854,
2380,1728840.1194587,
2390,1682600.38967862,
2400,1636771.61780822,
2410,1591410.03215868,
2420,1546577.26925986,
2430,1502340.97576308,
2440,1458775.46063666,
2450,1415962.39265195,
2460,1373991.53321147,
2470,1332961.48767518,
2480,1292980.44901519,
2490,1254166.89539933,
2500,1216650.18782371,
2510,1180570.99513525,
2520,1146081.452256,
2530,1113344.93466954,
2540,1082535.311242,
2550,1053835.52313213,
2560,1027435.33595191,
2570,1003528.13432105,
2580,982306.681787308,
2590,963957.861640015,
2600,948656.859649459,
2610,936559.225548651,
2620,927795.925194017,
2630,922465.838948473,
2640,920630.929854792,
2650,922312.86076742,
2660,927491.781021269,
2670,936107.438815172,
