Time,Range,
0,2687350.94687081,
10,2639839.76991192,
20,2592196.03074138,
30,2544433.52135574,
40,2496566.7291136,
50,2448610.9017151,
60,2400582.11967509,
70,2352497.37724168,
80,2304374.67283952,
90,2256233.11026076,
100,2208093.01198788,
110,2159976.04621303,
120,2111905.36931879,
130,2063905.78580562,
140,2016003.92789053,
150,1968228.45725732,
160,1920610.2917059,
170,1873182.85971699,
180,1825982.38620583,
190,1779048.21296031,
200,1732423.15741415,
210,1686153.91344525,
220,1640291.49774531,
230,1594891.74488495,
240,1550015.8533678,
250,1505730.98355281,
260,1462110.9060955,
270,1419236.69622006,
280,1377197.46431874,
290,1336091.10664692,
300,1296025.05076123,
310,1257116.95835755,
320,1219495.33294269,
330,1183299.96123945,
340,1148682.09586889,
350,1115804.26411106,
360,1084839.56627472,
370,1055970.3121495,
380,1029385.84206472,
390,1005279.39898163,
400,983844.251126515,
410,965267.394149871,
420,949725.127828221,
430,937375.303666206,
440,928350.788943167,
450,922753.117769124,
460,920647.247412658,
470,922058.022631965,
480,926968.785634569,
490,935322.675786538,
500,947024.309905894,
510,961946.910895966,
520,979937.042698512,
530,1000821.7339667,
540,1024415.21369751,
550,1050525.13042936,
560,1078957.92778199,
570,1109523.21098207,
580,1142037.07489894,
590,1176324.46156308,
600,1212220.67337594,
610,1249572.19357985,
620,1288236.96719785,
630,1328084.2825794,
640,1368994.7159799,
650,1410858.17472844,
660,1453575.27935251,
670,1497055.23789672,
680,1541215.44140674,
690,1585980.7278048,
700,1631282.67947915,
710,1677058.96525824,
720,1723252.7322812,
730,1769812.04967712,
740,1816689.40354207,
750,1863841.24114811,
760,1911227.56138708,
770,1958811.54796111,
780,2006559.24164107,
790,2054439.24792351,
800,2102422.47655327,
810,2150481.90959053,
820,2198592.39495341,
830,2246730.46263526,
840,2294874.16106391,
850,2343002.91132885,
860,2391097.37724503,
870,2439139.34944654,
880,2487111.64190714,
890,2534997.99946938,
900,2582783.01512879,
910,2630452.05596686,
920,2677991.19675681,
930,2725387.16038139,
940,2772627.26430402,
950,2819699.37242375,
960,2866591.85172352,
970,2913293.5331905,
980,2959793.6765479,
990,3006081.93839136,
1000,3052148.34336954,
1010,3097983.25809031,
1020,3143577.36746957,
1030,3188921.65327215,
1040,3234007.37462179,
1050,3278826.05028229,
1060,3323369.44253346,
1070,3367629.54248471,
1080,3411598.55668613,
1090,3455268.8949119,
1100,3498633.15900406,
1110,3541684.13267637,
1120,3584414.77218855,
1130,3626818.19781029,
1140,3668887.68600263,
1150,3710616.66225156,
1160,3751998.69449547,
1170,3793027.48709338,
1180,3833696.87528655,
1190,3874000.82011021,
1200,3913933.40371669,
1210,3953488.82507477,
1220,3992661.39601311,
1230,4031445.53757903,
1240,4069835.77668644,
1250,4107826.74302876,
1260,4145413.16623535,
1270,4182589.8732517,
1280,4219351.78592514,
1290,4255693.91877982,
1300,4291611.37696591,
1310,4327099.35436924,
1320,4362153.13186882,
1330,4396768.0757309,
1340,4430939.63612879,
1350,4464663.34577902,
1360,4497934.81868478,
1370,4530749.74897863,
1380,4563103.90985692,
1390,4594993.15259896,
1400,4626413.40566482,
1410,4657360.67386565,
1420,4687831.03760116,
1430,4717820.65215954,
1440,4747325.74707484,
1450,4776342.62553779,
1460,4804867.66385616,
1470,4832897.31096078,
1480,4860428.08795404,
1490,4887456.5876978,
1500,4913979.47443754,
1510,4939993.48346027,
1520,4965495.42078375,
1530,4990482.16287442,
1540,5014950.65639218,
1550,5038897.91795983,
1560,5062321.03395537,
1570,5085217.16032533,
1580,5107583.52241767,
1590,5129417.41483261,
1600,5150716.20128996,
1610,5171477.20118623,
1620,5191698.14439857,
1630,5211376.48642301,
1640,5230509.86641808,
1650,5249095.9922038,
1660,5267132.6402036,
1670,5284617.65539512,
1680,5301548.9512692,
1690,5317924.50979634,
1700,5333742.38139968,
1710,5349000.6849341,
1720,5363697.60767068,
1730,5377831.40528602,
1740,5391400.40185564,
1750,5404402.9898513,
1760,5416837.63014155,
1770,5428702.85199504,
1780,5439997.2530863,
1790,5450719.49950353,
1800,5460868.32575806,
1810,5470442.53479514,
1820,5479440.99800575,
1830,5487862.65523912,
1840,5495706.51481583,
1850,5502971.65354096,
1860,5509657.21671738,
1870,5515762.41815882,
1880,5521286.54020247,
1890,5526228.9337211,
1900,5530589.01813439,
1910,5534366.28141952,
1920,5537560.28012063,
1930,5540170.63935735,
1940,5542197.05283203,
1950,5543639.28283584,
1960,5544497.16025343,
1970,5544770.58456637,
1980,5544459.52385508,
1990,5543564.01479941,
2000,5542084.16267779,
2010,5540020.14136494,
2020,5537372.19332824,
2030,5534140.62962269,
2040,5530325.82988461,
2050,5525928.24232405,
2060,5520948.38371607,
2070,5515386.83939095,
2080,5509244.26322337,
2090,5502521.37762083,
2100,5495218.97351134,
2110,5487337.91033046,
2120,5478879.08008941,
2130,5469843.55238461,
2140,5460232.35481836,
2150,5450046.62072301,
2160,5439287.55187248,
2170,5427956.41847037,
2180,5416054.55913898,
2190,5403583.38090976,
2200,5390544.35921551,
2210,5376939.03788451,
2220,5362769.02913722,
2230,5348036.01358567,
2240,5332741.74023633,
2250,5316888.02649663,
2260,5300476.75818583,
2270,5283509.88955069,
2280,5265989.44328662,
2290,5247917.51056477,
2300,5229296.25106607,
2310,5210127.89302236,
2320,5190414.73326611,
2330,5170159.13728885,
2340,5149363.53930974,
2350,5128030.44235477,
2360,5106162.4183481,
2370,5083762.10821599,
2380,5060832.22200508,
2390,5037375.53901583,
2400,5013394.90795269,
2410,4988893.24709223,
2420,4963873.54447098,
2430,4938338.85809432,
2440,4912292.31616843,
2450,4885737.11735706,
2460,4858676.53106512,
2470,4831113.89775131,
2480,4803052.62927214,
2490,4774496.20925982,
2500,4745448.19353664,
2510,4715912.21056899,
2520,4685891.96196389,
2530,4655391.2230116,
2540,4624413.84327801,
2550,4592963.74725046,
2560,4561044.93504169,
2570,4528661.48315627,
2580,4495817.54532449,
2590,4462517.3534094,
2600,4428765.21839258,
2610,4394565.53144523,
2620,4359922.76509136,
2630,4324841.47447079,
2640,4289326.29870997,
2650,4253381.9624096,
2660,4217013.27725889,
2670,4180225.14378681,
2680,4143022.55326213,
2690,4105410.5897546,
2700,4067394.43237145,
2710,4028979.35768388,
2720,3990170.74236047,
2730,3950974.06602523,
2740,3911394.91436066,
2750,3871438.98247715,
2760,3831112.0785732,
2770,3790420.12791252,
2780,3749369.17714737,
2790,3707965.39902007,
2800,3666215.09747823,
