Time,Range,
0,2687350.94687081,
10,2639839.76991193,
20,2592196.03074139,
30,2544433.52135576,
40,2496566.7291136,
50,2448610.9017151,
60,2400582.11967509,
70,2352497.37724169,
80,2304374.67283953,
90,2256233.11026077,
100,2208093.01198789,
110,2159976.04621303,
120,2111905.36931879,
130,2063905.78580562,
140,2016003.92789053,
150,1968228.45725733,
160,1920610.2917059,
170,1873182.859717,
180,1825982.38620584,
190,1779048.21296031,
200,1732423.15741415,
210,1686153.91344526,
220,1640291.49774532,
230,1594891.74488496,
240,1550015.8533678,
250,1505730.98355282,
260,1462110.90609551,
261.523721722702,1455527.789019,
660.45088906082,1455519.98569174,
670,1497055.25486926,
680,1541215.45814389,
690,1585980.74431086,
700,1631282.69575897,
710,1677058.98131695,
720,1723252.74812414,
730,1769812.06530972,
740,1816689.41896982,
750,1863841.25637645,
760,1911227.57642135,
770,1958811.56280654,
780,2006559.25630276,
790,2054439.26240639,
800,2102422.49086209,
810,2150481.92372986,
820,2198592.40892765,
830,2246730.4764486,
840,2294874.17472037,
850,2343002.92483226,
860,2391097.39059903,
870,2439139.36265461,
880,2487111.65497258,
890,2534998.01239533,
900,2582783.02791823,
910,2630452.06862262,
920,2677991.20928157,
930,2725387.17277771,
940,2772627.27657431,
950,2819699.38457029,
960,2866591.86374849,
970,2913293.54509593,
980,2959793.68833576,
990,3006081.95006347,
1000,3052148.35492766,
1010,3097983.26953607,
1020,3143577.37880455,
1030,3188921.66449781,
1040,3234007.38573953,
1050,3278826.06129344,
1060,3323369.45343927,
1070,3367629.55328636,
1080,3411598.56738474,
1090,3455268.90550853,
1100,3498633.1694997,
1110,3541684.14307196,
1120,3584414.782485,
1130,3626818.20800844,
1140,3668887.69610326,
1150,3710616.67225544,
1160,3751998.70440331,
1170,3793027.49690585,
1180,3833696.88500429,
1190,3874000.8297338,
1200,3913933.41324672,
1210,3953488.83451177,
1220,3992661.40535757,
1230,4031445.54683144,
1240,4069835.78584725,
1250,4107826.75209838,
1260,4145413.17521419,
1270,4182589.88214014,
1280,4219351.79472352,
1290,4255693.92748849,
1300,4291611.3855852,
1310,4327099.36289943,
1320,4362153.1403102,
1330,4396768.08408374,
1340,4430939.64439334,
1350,4464663.35395552,
1360,4497934.82677347,
1370,4530749.75697972,
1380,4563103.91777059,
1390,4594993.16042542,
1400,4626413.41340427,
1410,4657360.68151824,
1420,4687831.04516707,
1430,4717820.65963893,
1440,4747325.75446786,
1450,4776342.63284459,
1460,4804867.67107688,
1470,4832897.31809555,
1480,4860428.095003,
1490,4887456.59466107,
1500,4913979.48131524,
1510,4939993.49025252,
1520,4965495.42749067,
1530,4990482.16949613,
1540,5014950.6629288,
1550,5038897.92441147,
1560,5062321.04032213,
1570,5085217.16660732,
1580,5107583.4111845,
1590,5129417.30511682,
1600,5150716.09308955,
1610,5171477.20782467,
1620,5191698.15094299,
1630,5211376.49287351,
1640,5230509.8727748,
1650,5249095.99846688,
1660,5267132.64637316,
1670,5284617.66147131,
1680,5301548.95725217,
1690,5317924.51568623,
1700,5333742.38719663,
1710,5349000.69063827,
1720,5363697.61328224,
1730,5377831.41080513,
1740,5391400.40728245,
1750,5404402.99518601,
1760,5416837.63538433,
1770,5428702.85714606,
1780,5439997.25814577,
1790,5450719.50447164,
1800,5460868.33063502,
1810,5470442.53958116,
1820,5479441.00270103,
1830,5487862.65984391,
1840,5495706.51933035,
1850,5502971.65796545,
1860,5509657.22105209,
1870,5515762.42240401,
1880,5521286.5443584,
1890,5526228.93778803,
1900,5530589.02211262,
1910,5534366.28530932,
1920,5537560.28392232,
1930,5540170.64307121,
1940,5542197.05645841,
1950,5543639.28637504,
1960,5544497.16370579,
1970,5544770.58793225,
1980,5544459.52713482,
1990,5543564.01799339,
2000,5542084.16578638,
2010,5540020.14438852,
2020,5537372.19626721,
2030,5534140.63247746,
2040,5530325.83265561,
2050,5525928.24501169,
2060,5520948.38632081,
2070,5515386.84191324,
2080,5509244.26566368,
2090,5502521.33983875,
2100,5495218.93702689,
2110,5487337.8751356,
2120,5478879.08209461,
2130,5469843.55431456,
2140,5460232.35667355,
2150,5450046.62250398,
2160,5439287.55357978,
2170,5427956.42010454,
2180,5416054.56070057,
2190,5403583.38239937,
2200,5390544.36063372,
2210,5376939.03923194,
2220,5362769.03041448,
2230,5348036.01479339,
2240,5332741.74137516,
2250,5316888.02756724,
2260,5300476.7591889,
2270,5283509.89048692,
2280,5265989.44415671,
2290,5247917.51136944,
2300,5229296.25180607,
2310,5210127.89369846,
2320,5190414.73387906,
2330,5170159.13783946,
2340,5149363.53979882,
2350,5128030.44278316,
2360,5106162.41871663,
2370,5083762.10852553,
