Time,Range,
0,5417015.03342743,
10,5428871.92707903,
20,5440157.97998914,
30,5450871.85924536,
40,5461012.30035862,
50,5470578.10727388,
60,5479568.15238205,
70,5487981.37653249,
80,5495816.78904603,
90,5503073.46772826,
100,5509750.55888273,
110,5515847.27732404,
120,5521362.90639041,
130,5526296.79795584,
140,5530648.37244138,
150,5534417.11882573,
160,5537602.59465468,
170,5540204.42604964,
180,5542222.30771481,
190,5543656.0029433,
200,5544505.34362177,
210,5544770.23023382,
220,5544450.63186192,
230,5543546.58618798,
240,5542058.19949245,
250,5539985.64665203,
260,5537329.17113602,
270,5534089.08500127,
280,5530265.7688858,
290,5525859.6720013,
300,5520871.3121243,
310,5515301.27558638,
320,5509150.2172634,
330,5502418.86056384,
340,5495107.99741649,
350,5487218.48825753,
360,5478751.26201732,
370,5469707.31610691,
380,5460087.71640463,
390,5449893.59724289,
400,5439126.16139551,
410,5427786.68006576,
420,5415876.49287549,
430,5403397.00785561,
440,5390349.70143825,
450,5376736.11845096,
460,5362557.87211341,
470,5347816.64403695,
480,5332514.18422734,
490,5316652.31109149,
500,5300232.91144832,
510,5283257.94054452,
520,5265729.42207577,
530,5247649.4337906,
540,5229020.16637832,
550,5209843.83347539,
560,5190122.73291668,
570,5169859.23119713,
580,5149055.76354029,
590,5127714.83397791,
600,5105839.0154412,
610,5083430.94986517,
620,5060493.348307,
630,5037028.9910798,
640,5013040.72790297,
650,4988531.47807064,
660,4963504.23063975,
670,4937962.04463935,
680,4911908.04930286,
690,4885345.44432515,
700,4858277.50014666,
710,4830707.55826641,
720,4802639.03158647,
730,4774075.40479038,
740,4745020.23475813,
750,4715477.15102072,
760,4685449.85625737,
770,4654942.12683886,
780,4623957.81342055,
790,4592500.84158918,
800,4560575.21256758,
810,4528185.00398208,
820,4495334.37069747,
830,4462027.54572508,
840,4428268.84120981,
850,4394062.64950244,
860,4359413.44432433,
870,4324325.78203181,
880,4288804.30298871,
890,4252853.73305581,
900,4216478.88520688,
910,4179684.66128213,
920,4142476.05389046,
930,4104858.14847318,
940,4066836.12554301,
950,4028415.26311366,
960,3989600.93933621,
970,3950398.63536076,
980,3910813.93844304,
990,3870852.54531806,
1000,3830520.26586461,
1010,3789823.0270873,
1020,3748766.87744511,
1030,3707357.99155877,
1040,3665602.67533219,
1050,3623507.37152752,
1060,3581078.66583677,
1070,3538323.29349835,
1080,3495248.14651165,
1090,3451860.28150853,
1100,3408166.92834778,
1110,3364175.49950496,
1120,3319893.60033938,
1130,3275329.04032847,
1140,3230489.84537076,
1150,3185384.27127024,
1160,3140020.81852863,
1170,3094408.24858661,
1180,3048555.60167296,
1190,3002472.21643907,
1200,2956167.75157904,
1210,2909652.20966001,
1220,2862935.96341584,
1230,2816029.78478956,
1240,2768944.8770463,
1250,2721692.91032049,
1260,2674286.06100796,
1270,2626737.05546818,
1280,2579059.21856269,
1290,2531266.52762605,
1300,2483373.67254536,
1310,2435396.12271434,
1320,2387350.20173134,
1330,2339253.17082635,
1340,2291123.32213461,
1350,2242980.08308173,
1360,2194844.13331286,
1370,2146737.53578316,
1380,2098683.88383352,
1390,2050708.46630071,
1400,2002838.45295528,
1410,1955103.10282062,
1420,1907533.99819462,
1430,1860165.3074634,
1440,1813034.08004606,
1450,1766180.57701726,
1460,1719648.64108318,
1470,1673486.10958274,
1480,1627745.27397688,
1490,1582483.3887687,
1500,1537763.23182532,
1510,1493653.71645989,
