Time,Range,
0,1499387.44686701,
10,1543581.66064699,
20,1588377.15480701,
30,1633705.85158015,
40,1679505.72601037,
50,1725720.20055623,
60,1772297.59152822,
70,1819190.6067468,
80,1866355.89229173,
90,1913753.62530995,
100,1961347.14937711,
110,2009102.64873035,
120,2056988.85770727,
130,2104976.80186818,
140,2153039.567493,
150,2201152.09639789,
160,2249291.00328526,
170,2297434.41310828,
180,2345561.81618943,
190,2393653.93907406,
200,2441692.62932363,
210,2489660.75265588,
220,2537542.10102296,
230,2585321.31038225,
240,2632983.78706087,
250,2680515.64174442,
260,2727903.63023511,
270,2775135.10022523,
280,2822197.94342127,
290,2869080.55243201,
300,2915771.78190259,
310,2962260.91343721,
320,3008537.62390613,
330,3054591.95677888,
340,3100414.29616718,
350,3145995.34329642,
360,3191326.09515661,
370,3236397.8251114,
380,3281202.06526826,
390,3325730.59043472,
400,3369975.40350432,
410,3413928.72213308,
420,3457582.96658206,
430,3500930.74861452,
440,3543964.86134831,
450,3586678.2699741,
460,3629064.10325922,
470,3671115.64576531,
480,3712826.330715,
490,3754189.73344931,
500,3795199.56542338,
510,3835849.66869291,
520,3876134.01084889,
530,3916046.68036148,
540,3955581.88229847,
550,3994733.93438616,
560,4033497.26338424,
570,4071866.40174827,
580,4109835.98455614,
590,4147400.74667696,
600,4184555.52016248,
610,4221295.23184333,
620,4257614.90111367,
630,4293509.63788919,
640,4328974.64072496,
650,4364005.19508049,
660,4398596.67172072,
670,4432744.52524227,
680,4466444.29271553,
690,4499691.59243359,
700,4532482.12275995,
710,4564811.66106769,
720,4596676.06276295,
730,4628071.26038672,
740,4658993.26278885,
750,4689438.15436903,
760,4719402.09437981,
770,4748881.31628696,
780,4777872.12718307,
790,4806370.9072503,
800,4834374.10926885,
810,4861878.25816763,
820,4888879.9506141,
830,4915375.85464032,
840,4941362.70930265,
850,4966837.32437241,
860,4991796.58005541,
870,5016237.42673807,
880,5040156.88475809,
890,5063552.04419788,
900,5086419.94559506,
910,5108758.05779839,
920,5130563.55837517,
930,5151833.81471787,
940,5172566.26321526,
950,5192758.40914982,
960,5212407.82660777,
970,5231512.15840096,
980,5250069.11599941,
990,5268076.47947371,
1000,5285532.09744625,
1010,5302433.88705073,
1020,5318779.83389882,
1030,5334567.99205362,
1040,5349796.48400904,
1050,5364463.50067447,
1060,5378567.30136435,
1070,5392106.21379185,
1080,5405078.63406631,
1090,5417483.02669398,
1100,5429317.92458145,
1110,5440581.92904155,
1120,5451273.70980128,
1130,5461392.00501126,
1140,5470935.62125668,
1150,5479903.43356908,
1160,5488294.38543897,
1170,5496107.48882887,
1180,5503341.82418653,
1190,5509996.5404582,
1200,5516070.85510165,
1210,5521564.05409876,
1220,5526475.49196767,
1230,5530804.59177396,
1240,5534550.84514126,
1250,5537713.81226064,
1260,5540293.12189907,
1270,5542288.47140661,
1280,5543699.6267224,
1290,5544526.4223793,
1300,5544768.76150723,
1310,5544426.61583499,
1320,5543500.02569084,
1330,5541989.10000152,
1340,5539894.01628991,
1350,5537215.02067129,
1360,5533952.42784829,
1370,5530106.62110447,
1380,5525678.05229669,
1390,5520667.24184632,
1400,5515074.7787294,
1410,5508901.27898047,
1420,5502147.55300981,
1430,5494814.35250796,
1440,5486902.54055345,
1450,5478413.04871845,
1460,5469346.87705532,
1470,5459705.09408318,
1480,5449488.8367747,
1490,5438699.31054354,
1500,5427337.7892323,
1510,5415405.6151018,
1520,5402904.19882157,
1530,5389835.0194621,
1540,5376199.62448912,
1550,5361999.62976042,
1560,5347236.71952546,
1570,5331912.64642836,
1580,5316029.23151467,
1590,5299588.36424248,
1600,5282592.00249837,
1610,5265042.17261882,
1620,5246940.96941777,
1630,5228290.55622079,
1640,5209093.16490695,
1650,5189351.09595872,
1660,5169066.71852105,
1670,5148242.47047043,
1680,5126880.85849481,
1690,5104984.45818539,
1700,5082555.91414147,
1710,5059597.9400894,
1720,5036113.31901692,
1730,5012104.90332424,
1740,4987575.61499318,
1750,4962528.44577602,
1760,4936966.45740571,
1770,4910892.78182899,
1780,4884310.62146453,
1790,4857223.24948807,
1800,4829634.01014663,
1810,4801546.31910422,
1820,4772963.66382169,
1830,4743889.60397307,
1840,4714327.7719018,
1850,4684281.87311963,
1860,4653755.68685178,
1870,4622753.06663202,
1880,4591277.94095154,
1890,4559334.31396611,
1900,4526926.26626584,
1910,4494057.95571301,
1920,4460733.61835301,
1930,4426957.56940452,
1940,4392734.2043353,
1950,4358068.00003058,
1960,4322963.51606143,
1970,4287425.39606171,
1980,4251458.36922208,
1990,4215067.25191131,
2000,4178256.94943513,
2010,4141032.4579445,
2020,4103398.86650582,
2030,4065361.35934704,
2040,4026925.21829484,
2050,3988095.82541935,
2060,3948878.66590496,
2070,3909279.33116674,
2080,3869303.52223481,
2090,3828957.05343068,
2100,3788245.87521239,
2110,3747176.0030893,
2120,3705753.63548176,
2130,3663985.0834658,
2140,3621876.79520033,
2150,3579435.36201892,
2160,3536667.52506835,
2170,3493580.18254732,
2180,3450180.39760476,
2190,3406475.40696331,
2200,3362472.63034163,
2210,3318179.6807569,
2220,3273604.37579839,
2230,3228754.74997388,
2240,3183639.06824208,
2250,3138265.84085799,
2260,3092643.83967316,
2270,3046782.11605017,
2280,3000690.02056998,
2290,2954377.22473282,
2300,2907853.74487884,
2310,2861129.96858207,
2320,2814216.68380525,
2330,2767125.11113814,
2340,2719866.9394851,
2350,2672454.36561441,
2360,2624900.13803697,
2370,2577217.6057426,
2380,2529420.77239368,
2390,2481524.35665492,
2400,2433543.85942938,
2410,2385495.638874,
2420,2337396.99418505,
2430,2289266.25927561,
2440,2241122.90761708,
2450,2192987.66968316,
2460,2144882.66462194,
2470,2096831.54798756,
2480,2048859.67759052,
2490,2000994.29976902,
2500,1953264.7586455,
2510,1905702.73119996,
2520,1858342.49125974,
2530,1811221.20575354,
2540,1764379.26678375,
2550,1717860.66319431,
2560,1671713.39530346,
2570,1625989.93624994,
2580,1580747.74286758,
2590,1536049.81801021,
2600,1491965.32460738,
2608.38709715734,1455519.45620865,
3007.31334981534,1455524.38553493,
3017,1497662.66834615,
3027,1541831.75273375,
3037,1586604.92752217,
3047,1631913.86381797,
3057,1677696.31039272,
3067,1723895.48626521,
3077,1770459.52509934,
3087,1817340.97088034,
3097,1864496.32278632,
3107,1911885.62624903,
3117,1959472.10671093,
3127,2007221.84239906,
3137,2055103.47244721,
3147,2103087.9368362,
3157,2151148.24483419,
3167,2199259.2688721,
3177,2247397.56105662,
3187,2295541.18979199,
3197,2343669.5942399,
3207,2391763.45458967,
3217,2439804.5763345,
3227,2487775.7869539,
3237,2535660.84358607,
3247,2583444.35043931,
3257,2631111.68483762,
3267,2678648.93092641,
3277,2726042.82017937,
3287,2773280.67794831,
3297,2820350.37538858,
3307,2867240.28616989,
3317,2913939.24745247,
3327,2960436.52466872,
3337,3006721.77970411,
3347,3052785.04211771,
3357,3098616.68308397,
3367,3144207.39177364,
3377,3189548.15392335,
3387,3234630.2323715,
3397,3279445.14936263,
3407,3323984.6704443,
3417,3368240.78979958,
3427,3412205.71687527,
3437,3455871.86418064,
3447,3499231.83614522,
3457,3542278.41893531,
3467,3585004.57113964,
3477,3627403.41524389,
3487,3669468.22982143,
3497,3711192.44237562,
3507,3752569.62277506,
3517,3793593.47722898,
3527,3834257.84275533,
3537,3874556.68209855,
3547,3914484.07905811,
3557,3954034.23419278,
3567,3993201.46086868,
3577,4031980.18162228,
3587,4070364.92481206,
3597,4108350.32153497,
3607,4145931.10278619,
3617,4183102.09684216,
3627,4219858.22684911,
3637,4256194.50860048,
3647,4292106.0484885,
3657,4327588.04161594,
3667,4362635.77005555,
3677,4397244.60124603,
3687,4431409.98651344,
3697,4465127.45970894,
3707,4498392.63595367,
3717,4531201.21048275,
3727,4563548.95758092,
3737,4595431.7296029,
3747,4626845.45607218,
3757,4657786.14285227,
3767,4688249.8713852,
3777,4718232.79799214,
3787,4747731.15323161,
3797,4776741.24131106,
3807,4805259.43954773,
3817,4833282.19787546,
3827,4860806.03839367,
3837,4887827.55495576,
3847,4914343.41279381,
3857,4940350.34817696,
3867,4965845.16810092,
3877,4990824.75000642,
3887,5015286.04152428,
3897,5039226.0602452,
3907,5062641.89351231,
3917,5085530.69823486,
3927,5107889.58331804,
3937,5129716.08072912,
3947,5151007.43613751,
3957,5171761.08322051,
3967,5191974.52455292,
3977,5211645.33151658,
3987,5230771.14422183,
3997,5249349.67143966,
4007,5267378.69054367,
4017,5284856.04746109,
4027,5301779.65663184,
4037,5318147.50097504,
4047,5333957.63186214,
4057,5349208.16909611,
4067,5363897.30089592,
4077,5378023.28388592,
4087,5391584.44308933,
4097,5404579.17192563,
4107,5417005.93221109,
4117,5428863.25416212,
4127,5440149.73640115,
4137,5450864.04596438,
4147,5461004.91831128,
4157,5470571.15733541,
4167,5479561.6353762,
4177,5487975.29323156,
4187,5495811.14017088,
4197,5503068.25394825,
4207,5509745.78081575,
4217,5515842.93553648,
4227,5521359.00139719,
4237,5526293.33022035,
4247,5530645.34237552,
4257,5534414.52678986,
4267,5537600.44095766,
4277,5540202.71094877,
4287,5542221.03141587,
4297,5543655.16560055,
4307,5544504.94533792,
4317,5544770.27106004,
4327,5544451.11179785,
4337,5543547.50518172,
4347,5542059.55744055,
4357,5539987.44339953,
4367,5537331.40647642,
4377,5534091.75867656,
4387,5530268.88058645,
4397,5525863.22136627,
4407,5520875.29874105,
4417,5515305.69899088,
4427,5509155.07694014,
4437,5502424.11582459,
4447,5495113.68914258,
4457,5487224.61577051,
4467,5478757.82458707,
4477,5469714.31295168,
4487,5460095.14669102,
4497,5449901.46008589,
4507,5439134.45585845,
4517,5427795.40516039,
4527,5415885.64756192,
4537,5403406.59104236,
4547,5390359.71198222,
4557,5376746.55515745,
4567,5362568.73373613,
4577,5347827.92927796,
4587,5332525.89173713,
4597,5316664.43946891,
4607,5300245.45924056,
4617,5283270.90624713,
4627,5265742.80413263,
4637,5247663.24501727,
4647,5229034.38953149,
4657,5209858.46685734,
4667,5190137.7747782,
4677,5169874.67973742,
4687,5149071.61690696,
4697,5127731.09026689,
4707,5105855.67269668,
4717,5083448.0060795,
4727,5060510.80142063,
4737,5037046.83898114,
4747,5013058.9684283,
4757,4988550.10900396,
4767,4963523.24971267,
4777,4937981.44953088,
4787,4911927.83763924,
4797,4885365.61367969,
4807,4858298.04803947,
4817,4830728.48216418,
4827,4802660.32890221,
4837,4774097.0728831,
4847,4745042.27093256,
4857,4715499.5525269,
4867,4685472.62029031,
4877,4654965.2505381,
4887,4623981.29386971,
4897,4592524.67581545,
4907,4560599.39754115,
4917,4528209.5366156,
4927,4495359.24784535,
4937,4462052.76418282,
4947,4428294.39771322,
4957,4394088.54072679,
4967,4359439.66688346,
4977,4324352.33247716,
4987,4288831.17780824,
4997,4252880.92867286,
5007,4216506.39797887,
5017,4179712.48749926,
5027,4142504.1897742,
5037,4104886.59017464,
5047,4066864.86914125,
5057,4028444.30461377,
5067,3989630.27466725,
5077,3950428.26037356,
5087,3910843.84890778,
5097,3870882.73692162,
5107,3830550.73420774,
5117,3789853.7676815,
5127,3748797.88570928,
5137,3707389.28153958,
5147,3665634.22341361,
5157,3623539.17278019,
5167,3581110.71522042,
5177,3538355.58585654,
5187,3495280.67656601,
5197,3451893.04385257,
5207,3408199.91744,
5217,3364208.70966147,
5227,3319927.02572572,
5237,3275362.6749507,
5247,3230523.68306567,
5257,3185418.30569468,
5267,3140055.04314771,
5277,3094442.65666087,
5287,3048590.18624409,
5297,3002506.97031436,
5307,2956202.66731419,
5317,2909687.27954013,
5327,2862971.17943457,
5337,2816065.13862591,
5347,2768980.3600391,
5357,2721728.51344004,
5367,2674321.7748247,
5377,2626772.87011777,
5387,2579095.12370732,
5397,2531302.5124114,
5407,2483409.72555262,
5417,2435432.23190678,
5427,2387386.35439458,
5437,2339289.35350179,
5447,2291159.52054479,
5457,2243016.28204695,
5467,2194880.3166576,
5477,2146773.6862313,
5487,2098719.98289067,
5497,2050744.49412213,
5507,2002874.38819755,
5517,1955138.92247507,
5527,1907569.67740023,
5537,1860200.81929679,
5547,1813069.39528601,
5557,1766215.66388105,
5567,1719683.46493184,
5577,1673520.63259267,
5587,1627779.45477547,
5597,1582517.18203182,
5607,1537796.58783596,
5617,1493686.58062857,
5625.77976771329,1455522.0895999,
6024.70491363389,1455516.97498135,
6034,1495938.94606974,
6044,1540082.78496036,
6054,1584833.53468551,
6064,1630122.61420806,
6074,1675887.54508766,
6084,1722071.3420441,
6094,1768621.95531497,
6104,1815491.76434671,
6114,1862637.12078374,
6124,1910017.93777655,
6134,1957597.32212875,
6144,2005341.24560623,
6154,2053218.25173709,
6164,2101199.1945648,
6174,2149257.00602731,
6184,2197366.48888669,
6194,2245504.13240144,
6204,2293647.94820193,
6214,2341777.32408863,
6224,2389872.89371594,
6234,2437916.42034913,
6244,2485890.6930867,
6254,2533779.43412528,
6264,2581567.2158098,
6274,2629239.38635859,
6284,2676782.00328497,
6294,2724181.77365136,
6304,2771426.00039485,
6314,2818502.53405267,
6324,2865399.72929515,
6334,2912106.40574309,
6344,2958611.81260791,
6354,3004905.5967458,
6364,3050977.77376501,
6374,3096818.70186622,
6384,3142419.05813236,
6394,3187769.8170166,
6404,3232862.23080469,
6414,3277687.81185331,
6424,3322238.31642738,
6434,3366505.72997881,
6444,3410482.25372626,
6454,3454160.29241004,
6464,3497532.44311011,
6474,3540591.48502679,
6484,3583330.37013378,
6494,3625742.21462292,
6504,3667820.29106826,
6514,3709558.02124374,
6524,3750948.96953617,
6534,3791986.83690035,
6544,3832665.45530857,
6554,3872978.78265154,
6564,3912920.89805132,
6574,3952485.99755159,
6584,3991668.39015265,
6594,4030462.49416254,
6604,4068862.83383787,
6614,4106864.03629028,
6624,4144460.82863697,
6634,4181648.03537533,
6644,4218420.5759637,
6654,4254773.46259169,
6664,4290701.79812513,
6674,4326200.77421172,
6684,4361265.66953508,
6694,4395891.8482053,
6704,4430074.75827581,
6714,4463809.93037655,
6724,4497092.97645495,
6734,4529919.58861606,
6744,4562285.53805481,
6754,4594186.6740731,
6764,4625618.9231756,
6774,4656578.28823834,
6784,4687060.84774458,
6794,4717062.7550831,
6804,4746580.23790431,
6814,4775609.59752962,
6824,4804147.20841064,
6834,4832189.51763411,
6844,4859733.04446935,
6854,4886774.37995511,
6864,4913310.18652295,
6874,4939337.19765431,
6884,4964852.21756888,
6894,4989852.12094188,
6904,5014333.8526482,
6914,5038294.42753121,
6924,5061730.93019445,
6934,5084640.51481456,
6944,5107020.28749534,
6954,5128867.77763335,
6964,5150180.22810681,
6974,5170955.0698814,
6984,5191189.80282411,
6994,5210881.99561227,
7004,5230029.28565463,
7014,5248629.37902301,
7024,5266680.05039401,
7034,5284179.14299957,
7044,5301124.56858583,
7054,5317514.3073793,
7064,5333346.40805976,
7074,5348618.98773921,
7084,5363330.23194619,
7094,5377478.39461492,
7104,5391061.79807873,
7114,5404078.83306719,
7124,5416527.95870659,
7134,5428407.70252322,
7144,5439716.6604491,
7154,5450453.49682965,
7164,5460616.9444332,
7174,5470205.80446169,
7184,5479218.9465625,
7194,5487655.30884093,
7204,5495513.89787325,
7214,5502793.78871995,
7224,5509494.12493897,
7234,5515614.11859875,
7244,5521153.05029088,
7254,5526110.26914223,
7264,5530485.19282637,
7274,5534277.30757398,
7284,5537486.16818259,
7294,5540111.39802496,
7304,5542152.68905641,
7314,5543609.80182095,
7324,5544482.56545597,
7334,5544770.87769568,
7344,5544474.70487316,
7354,5543594.08192088,
7364,5542129.11236993,
7374,5540079.9683478,
7384,5537446.89057472,
7394,5534230.18835869,
7404,5530430.23958922,
7414,5526047.49072975,
7424,5521082.45680896,
7434,5515535.72141101,
7444,5509407.93666477,
7454,5502699.78305521,
7464,5495412.13149804,
7474,5487545.79811949,
7484,5479101.70910479,
7494,5470080.85912037,
7504,5460484.31130049,
7514,5450313.197234,
7524,5439568.71695164,
7534,5428252.1389141,
7544,5416364.80000102,
7554,5403908.10550146,
7564,5390883.52910597,
7574,5377292.61290072,
7584,5363136.96736409,
7594,5348418.27136602,
7604,5333138.27217077,
7614,5317298.78544336,
7624,5300901.69526027,
7634,5283948.95412506,
7644,5266442.58298927,
7654,5248384.67127949,
7664,5229777.37693104,
7674,5210622.9264291,
7684,5190923.61485802,
7694,5170681.80595967,
7704,5149899.93220162,
7714,5128580.49485618,
7724,5106726.06409126,
7734,5084339.27907411,
7744,5061422.84808914,
7754,5037979.548671,
7764,5014012.22775429,
7774,4989523.80184118,
7784,4964517.25718879,
7794,4938995.65001747,
7804,4912962.10674219,
7814,4886419.8242286,
7824,4859372.07007592,
7834,4831822.18292889,
7844,4803773.57282082,
7854,4775229.72155068,
7864,4746194.18309647,
7874,4716670.58406823,
7884,4686662.62420342,
7894,4656174.07690834,
7904,4625208.78984913,
7914,4593770.68559627,
7924,4561863.76232696,
7934,4529492.09458986,
7944,4496659.83413726,
7954,4463371.21083013,
7964,4429630.53362185,
7974,4395442.19162701,
7984,4360810.65528219,
7994,4325740.47760629,
8004,4290236.29556852,
8014,4254302.83157296,
8024,4217944.89506937,
8034,4181167.38430089,
8044,4143975.2882001,
8054,4106373.688446,
8064,4068367.76169577,
8074,4029962.78200627,
8084,3991164.12346193,
8094,3951977.2630269,
8104,3912407.78364155,
8114,3872461.37758483,
8124,3832143.85012671,
8134,3791461.12349695,
8144,3750419.24119917,
8154,3709024.39143779,
8164,3667282.8371678,
8174,3625201.03435422,
8184,3582785.5628359,
8194,3540043.15172174,
8204,3496980.6865801,
8214,3453605.2172829,
8224,3409923.96656958,
8234,3365944.33940372,
8244,3321673.93320304,
8254,3277120.5490332,
8264,3232292.20386582,
8274,3187197.14401318,
8284,3141843.85986542,
8294,3096241.1020708,
8304,3050397.89931703,
8314,3004323.57789058,
8324,2958027.78321307,
8334,2911520.50357823,
8344,2864812.09634167,
8354,2817913.31684717,
8364,2770835.35040988,
8374,2723589.84771819,
8384,2676188.96406329,
8394,2628645.40285883,
8404,2580972.46397455,
8414,2533184.09747714,
8424,2485294.96345063,
8434,2437320.4986591,
8444,2389276.99091596,
8454,2341181.66214077,
8464,2293052.76121458,
8474,2244909.66789354,
8484,2196773.00920527,
8494,2148664.78993817,
8504,2100608.53903859,
8514,2052629.47395555,
8524,2004754.68521666,
8534,1957013.34377747,
8544,1909436.93395539,
8554,1862059.51502658,
8564,1814918.01481593,
8574,1768052.55881944,
8584,1721506.83853164,
8594,1675328.52265352,
8604,1629569.71465729,
8614,1584287.45967921,
8624,1539544.3027612,
8634,1495408.89887963,
8643.17223764704,1455525.59042465,
9042.09913788261,1455521.04345045,
9052,1498598.58776549,
9062,1542781.32452243,
9072,1587566.62536609,
9082,1632886.29781763,
9092,1678678.21356509,
9102,1724885.7021422,
9112,1771456.99643341,
9122,1818344.72942592,
9132,1865505.48010096,
9142,1912899.36544339,
9152,1960489.67507032,
9162,2008242.54479727,
9172,2056126.66547576,
9182,2104113.02357571,
9192,2152174.67019974,
9202,2200286.51546992,
9212,2248425.14549546,
9222,2296568.65939814,
9232,2344696.52412989,
9242,2392789.44506005,
9252,2440829.25053248,
9262,2488798.78879658,
9272,2536681.83590027,
9282,2584463.0132965,
9292,2632127.71406226,
9302,2679662.03675801,
9312,2727052.72607097,
9322,2774287.11948655,
9332,2821353.09932173,
9342,2868239.04953214,
9352,2914933.81677391,
9362,2961426.67526221,
9372,3007707.29502039,
9382,3053765.71316186,
9392,3099592.30788681,
9402,3145177.77491224,
9412,3190513.10608589,
9422,3235589.56996165,
9432,3280398.69413989,
9442,3324932.24919645,
9452,3369182.23404423,
9462,3413140.86258763,
9472,3456800.55154498,
9482,3500153.90932791,
9492,3543193.72587711,
9502,3585912.96336598,
9512,3628304.74769075,
9522,3670362.36067606,
9532,3712079.23293047,
9542,3753448.93729366,
9552,3794465.18282291,
9562,3835121.80927122,
9572,3875412.78201415,
9582,3915332.18738687,
9592,3954874.22839599,
9602,3994033.22077464,
9612,4032803.58935192,
9622,4071179.86471041,
9632,4109156.68010813,
9642,4146728.76864317,
9652,4183890.96064132,
9662,4220638.18124882,
9672,4256965.44821363,
9682,4292867.86984057,
9692,4328340.64310635,
9702,4363379.05192205,
9712,4397978.46553183,
9722,4432134.33703696,
9732,4465842.202036,
9742,4499097.67737172,
9752,4531896.45997724,
9762,4564234.32581358,
9772,4596107.12889169,
9782,4627510.80037281,
9792,4658441.34774131,
9802,4688894.85404453,
9812,4718867.47719464,
9822,4748355.44932805,
9832,4777355.07621812,
9842,4805862.73673702,
9852,4833874.88236339,
9862,4861388.03673236,
9872,4888398.79522458,
9882,4914903.82459178,
9892,4940899.86261582,
9902,4966383.71779881,
9912,4991352.26908217,
9922,5015802.46559225,
9932,5039731.32641059,
9942,5063135.94036701,
9952,5086013.46585369,
9962,5108361.01330055,
9972,5130176.11606085,
9982,5151456.02132329,
9992,5172198.16423673,
10002,5192400.04884545,
10012,5212059.24799903,
10022,5231173.40327393,
10032,5249740.22490595,
10042,5267757.49173239,
10052,5285223.05114315,
10062,5302134.81904012,
10072,5318490.77980367,
10082,5334288.98626607,
10092,5349527.55969065,
10102,5364204.68975652,
10112,5378318.63454797,
10122,5391867.72054808,
10132,5404850.34263614,
10142,5417264.96408826,
10152,5429110.11658088,
10162,5440384.40019652,
10172,5451086.48343167,
10182,5461215.10320636,
10192,5470769.06487488,
10202,5479747.24223769,
10212,5488148.57755402,
10222,5495972.0815548,
10232,5503216.83345603,
10242,5509881.98097193,
10252,5515966.74032801,
10262,5521470.39627369,
10272,5526392.30209439,
10282,5530731.87962282,
10292,5534488.61924957,
10302,5537662.07993246,
10312,5540251.88920509,
10322,5542257.74318406,
10332,5543679.4065749,
10342,5544516.71267684,
10352,5544769.56338608,
10362,5544437.92919771,
10372,5543521.84920629,
10382,5542021.43110483,
10392,5539936.85118259,
10402,5537268.35432131,
10412,5534016.25399015,
10422,5530180.93223935,
10432,5525762.8396926,
10442,5520762.49553824,
10452,5515180.48751949,
10462,5509017.47192361,
10472,5502274.13347917,
10482,5494951.34708619,
10492,5487049.93311358,
10502,5478570.82190181,
10512,5469515.01227177,
10522,5459883.57151136,
10532,5449677.63536227,
10542,5438898.40800738,
10552,5427547.16205874,
10562,5415625.23854681,
10572,5403134.04691089,
10582,5390075.06499134,
10592,5376449.83902393,
10602,5362259.98363642,
10612,5347507.18184831,
10622,5332193.18507359,
10632,5316319.81312759,
10642,5299888.95423789,
10652,5282902.56506026,
10662,5265362.67069993,
10672,5247271.364739,
10682,5228630.80927059,
